Triazine_ID,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,n_triazine_rings
TRZ00764,Cc1nnc(C2CCN(c3ncc(C(F)(F)F)cc3Cl)CC2)nc1C,371.79,3.94,54.8,0,5,2,2,1
TRZ00765,Cc1nnc(Cc2nn(C)c(=O)c3ccccc23)nc1C,281.32,1.33,73.56,0,5,2,3,1
TRZ00766,CCn1cc(-c2nnc(C)c(C)n2)c(=O)c2ccc(C)nc21,295.35,2.19,73.56,0,5,2,3,1
TRZ00767,CCn1cc(-c2nnc(C)c(C)n2)c(=O)c2cc(F)c(NN)cc21,328.35,1.91,98.72,2,6,3,3,1
TRZ00768,CCn1cc(-c2nnc(C)c(C)n2)c(=O)c2cc(F)c(N3CCCCCC3)cc21,395.48,4.01,63.91,0,5,3,3,1
TRZ00769,Cc1nnc(-c2cc(C(C)(C)C)[nH]n2)nc1C,231.3,2.18,67.35,1,4,1,2,1
TRZ00770,Cc1nnc(-c2oc3ccccc3c2C)nc1C,239.28,3.21,51.81,0,4,1,3,1
TRZ00771,Cc1nnc(C(C)c2ccc(CC(C)C)cc2)nc1C,269.39,3.84,38.67,0,3,4,2,1
TRZ00772,Cc1nnc(CCc2ccc(O)cc2)nc1C,229.28,1.98,58.9,1,4,3,2,1
TRZ00773,Cc1nnc(-c2cc3cc([N+](=O)[O-])ccc3s2)nc1C,286.32,3.28,81.81,0,6,2,3,1
TRZ00774,Cc1nnc(C2Cc3c([nH]c4ccccc34)CN2)nc1C,279.35,2.36,66.49,2,4,1,3,1
TRZ00775,Cc1nnc(-c2cn(Cc3ccccc3)c3ccccc23)nc1C,314.39,4.16,43.6,0,3,3,4,1
TRZ00776,Cc1nnc(-c2ccc[n+]([O-])c2)nc1C,202.22,0.79,65.61,0,4,1,2,1
TRZ00777,COc1cc(-c2nnc(C)c(C)n2)cc(OC)c1O,261.28,1.88,77.36,1,6,3,2,1
TRZ00778,Cc1nnc(C(C)Oc2ccc(Cl)cc2)nc1C,263.73,3.28,47.9,0,4,3,2,1
TRZ00779,Cc1cc(-c2nnc(C)c(C)n2)c2ccccc2n1,250.31,3.01,51.56,0,4,1,3,1
TRZ00780,Cc1nnc(-c2ccc3[nH]c(C)c(C)c3c2)nc1C,252.32,3.25,54.46,1,3,1,3,1
TRZ00781,CC(=O)Nc1ccc(-c2nnc(C)c(C)n2)cc1,242.28,2.11,67.77,1,4,2,2,1
TRZ00782,Cc1nnc(-c2ccccc2NC(=O)c2ccccc2)nc1C,304.35,3.41,67.77,1,4,3,3,1
TRZ00783,Cc1nnc(-c2ccccc2Nc2ccccc2)nc1C,276.34,3.9,50.7,1,4,3,3,1
TRZ00784,Cc1nnc(-c2cnc3ccccc3c2)nc1C,236.28,2.7,51.56,0,4,1,3,1
TRZ00785,Cc1nnc(-c2ccc(NS(=O)(=O)c3ccc(Br)cc3)cc2)nc1C,419.3,3.72,84.84,1,5,4,3,1
TRZ00786,Cc1nnc(Cc2ccc(CCc3ccc(N4CCNCC4)cc3C(F)(F)F)cc2)nc1C,455.53,4.29,53.94,1,5,6,3,1
TRZ00790,Cc1nnc(-c2ccc(C(=O)O)c(-n3c(C)ccc3C)c2)nc1C,322.37,3.26,80.9,1,4,3,3,1
TRZ00791,Cc1nnc(-c2cnc3ccc(-c4c(-c5ccc(F)cc5)ncn4CC(F)F)nn23)nc1C,450.43,4.13,86.68,0,6,5,5,1
TRZ00792,Cc1nnc(-c2cc(F)cnc2N2CCOCC2)nc1C,289.31,1.53,64.03,0,6,2,2,1
TRZ00794,Cc1ncccc1-c1cnc(NCc2c(F)ccc3c2CCO3)n2cnc(-c3nnc(C)c(C)n3)c12,482.52,4.25,103.01,1,8,5,5,1
TRZ00795,Cc1nnc(-c2ccc3nc(-c4nc[nH]c4C)c(NCCN4CCOCC4)n3c2)nc1C,433.52,2.25,109.15,2,8,6,4,1
TRZ00796,CCN(CC)c1ccc(CCc2ccc(Cc3nnc(C)c(C)n3)cc2)nc1,375.52,4.11,54.8,0,5,8,3,1
TRZ00797,Cc1nnc(Cc2ccc(CCc3ccc(N4CCNCC4)cn3)cc2)nc1C,388.52,2.67,66.83,1,6,6,3,1
TRZ00798,CCN(C)c1ccc(CCc2ccc(Cc3nnc(C)c(C)n3)cc2)cn1,361.49,3.72,54.8,0,5,7,3,1
TRZ00799,CC(=O)N1CCN(c2ccc(CCc3ccc(Cc4nnc(C)c(C)n4)s3)nc2)CC1,436.59,2.99,75.11,0,7,6,3,1
TRZ00800,Cc1nnc(-c2c(O)c3ccccc3n(C)c2=O)nc1C,282.3,1.71,80.9,1,5,1,3,1
TRZ00801,Cc1nnc(-c2ccc(-n3c(C)ccc3-c3ccccc3)cc2)nc1C,340.43,4.92,43.6,0,3,3,4,1
TRZ00802,Cc1cc(OCc2nnc(C)c(C)n2)ccc1Cl,263.73,3.03,47.9,0,4,3,2,1
TRZ00803,Cc1cccc(OC(C)c2nnc(C)c(C)n2)c1,243.31,2.94,47.9,0,4,3,2,1
TRZ00804,C=CCC(CC=C)(C(N)=O)c1ccc(-c2nnc(C)c(C)n2)cc1,322.41,3.03,81.76,1,4,7,2,1
TRZ00805,COc1cccc(-c2nnc(C)c(C)n2)c1-c1nnc(C)c(C)n1,322.37,2.63,86.57,0,7,3,3,2
TRZ00806,Cc1nnc(C(c2ccccc2)N2CCCCC2)nc1C,282.39,3.06,41.91,0,4,3,2,1
TRZ00807,COc1c(I)cc(-c2nnc(C)c(C)n2)cc1I,467.05,3.37,47.9,0,4,2,2,1
TRZ00808,Cc1nnc(-c2cccc(-n3c(C)ccc3C)c2)nc1C,278.36,3.56,43.6,0,3,2,3,1
TRZ00809,Cc1nnc(C2=CO[C@@H](C)[C@@H]3CN4CCc5c([nH]c6ccccc56)[C@@H]4C[C@H]23)nc1C,401.51,3.96,66.93,1,5,1,3,1
TRZ00810,COc1ccc2[nH]c3c(c2c1)CCN1C[C@@H]2[C@H](C)OC=C(c4nnc(C)c(C)n4)[C@H]2C[C@@H]31,431.54,3.97,76.16,1,6,2,3,1
TRZ00811,Cc1nnc(C2=CO[C@@H](C)[C@H]3CN4CCc5c([nH]c6ccccc56)[C@@H]4C[C@H]23)nc1C,401.51,3.96,66.93,1,5,1,3,1
TRZ00812,Cc1nnc(-c2cccc(Cc3cnc[nH]3)c2O)nc1C,281.32,2.17,87.58,2,5,3,3,1
TRZ00813,Cc1nnc(/C(=C/c2ccccc2)c2ccccc2)nc1C,287.37,4.08,38.67,0,3,3,3,1
TRZ00814,Cc1nnc(-c2cc(Br)c(Br)s2)nc1C,349.05,3.74,38.67,0,4,1,2,1
TRZ00815,Cc1nnc(C(=O)NCc2ccco2)nc1C,232.24,1.01,80.91,1,5,3,2,1
TRZ00816,Cc1nnc(-c2ccc(CNC(=O)C(Cl)Cl)cc2)nc1C,325.2,2.58,67.77,1,4,4,2,1
TRZ00817,Cc1ccc(C(C)C)c(OCc2nnc(C)c(C)n2)c1,271.36,3.5,47.9,0,4,4,2,1
TRZ00818,Cc1nnc(CNC(=O)c2cccs2)nc1C,248.31,1.48,67.77,1,5,3,2,1
TRZ00820,Cc1nnc(CCn2c3c(c4ccccc42)CCCC3)nc1C,306.41,3.56,43.6,0,3,3,3,1
TRZ00821,Cc1nnc(CSc2nnc(-c3ccc(Cl)cc3)n2-c2ccccc2)nc1C,408.92,4.68,69.38,0,6,5,4,1
TRZ00822,Cc1nnc(CCCOc2ccc(Cl)cc2Cl)nc1C,312.2,3.81,47.9,0,4,5,2,1
TRZ00823,Cc1nnc(-c2ccoc2C)nc1C,189.22,2.06,51.81,0,4,1,2,1
TRZ00824,Cc1nnc(CCN2CCN(c3ccccc3)CC2)nc1C,297.41,1.85,45.15,0,5,4,2,1
TRZ00825,CCN(CC)Cc1ccc(-c2nnc(C)c(C)n2)o1,260.34,2.59,55.05,0,5,5,2,1
TRZ00826,Cc1nnc(-c2cn(-c3ccccc3)nc2-c2ccccc2)nc1C,327.39,4.01,56.49,0,4,3,4,1
TRZ00827,Cc1nnc(COc2ccccc2Cc2ccccc2)nc1C,305.38,3.66,47.9,0,4,5,3,1
TRZ00828,COc1cccc(-n2c(Cc3nnc(C)c(C)n3)csc2=NCc2ccco2)c1,407.5,3.63,78.33,0,7,6,4,1
TRZ00829,Cc1nnc(Cc2nc(-c3cnccn3)no2)nc1C,269.27,0.92,103.37,0,8,3,3,1
TRZ00830,Cc1nc(-c2ccccc2)ccc1-c1nnc(C)c(C)n1,276.34,3.53,51.56,0,4,2,3,1
TRZ00831,Cc1cccc(OC(C)c2nnc(C)c(C)n2)c1C,257.34,3.25,47.9,0,4,3,2,1
TRZ00832,COCCn1cnc2c1c(=O)n(Cc1nnc(C)c(C)n1)c(=O)n2Cc1ccccc1,421.46,0.9,109.72,0,7,7,4,1
TRZ00833,Cc1nnc(-c2ccc(CS(=O)(=O)c3ccccc3)o2)nc1C,329.38,2.72,85.95,0,6,4,3,1
TRZ00834,Cc1nnc(Cc2nc(-c3ccccc3)cs2)nc1C,282.37,3.2,51.56,0,5,3,3,1
TRZ00835,Cc1nnc(C(C)Nc2nc3ccccc3s2)nc1C,285.38,3.27,63.59,1,6,3,3,1
TRZ00836,Cc1nnc(-c2ncoc2C)nc1C,190.21,1.45,64.7,0,5,1,2,1
TRZ00838,Cc1nnc(-c2scnc2C)nc1C,206.27,1.92,51.56,0,5,1,2,1
TRZ00839,Cc1nnc(CCn2ccnc2)nc1C,203.25,0.93,56.49,0,4,3,2,1
TRZ00840,Cc1nnc(-c2ccc(Br)s2)nc1C,270.15,2.98,38.67,0,4,1,2,1
TRZ00841,Cc1nnc(-c2ccc(Cl)c(S(N)(=O)=O)c2)nc1C,298.75,1.46,98.83,1,5,2,2,1
TRZ00842,Cc1nnc(-c2cc(F)cc(F)c2)nc1C,221.21,2.43,38.67,0,3,1,2,1
TRZ00843,CSc1ncccc1-c1nnc(C)c(C)n1,232.31,2.27,51.56,0,5,2,2,1
TRZ00844,Cc1nnc(-c2ncn[nH]2)nc1C,176.18,0.27,80.24,1,5,1,2,1
TRZ00845,Cc1nnc(-c2ccc(OC(F)(F)F)cc2)nc1C,269.23,3.05,47.9,0,4,2,2,1
TRZ00846,Cc1nnc(Cc2ccc(O)cc2)nc1C,215.26,1.78,58.9,1,4,2,2,1
TRZ00847,Cc1nn(C)cc1-c1nnc(C)c(C)n1,203.25,1.2,56.49,0,4,1,2,1
TRZ00848,Cc1nnc(-c2ccn[nH]2)nc1C,175.19,0.88,67.35,1,4,1,2,1
TRZ00849,Cc1nnc(-c2cc(-c3ccccc3)on2)nc1C,252.28,2.81,64.7,0,5,2,3,1
TRZ00850,Cc1nnc(Cc2ccccn2)nc1C,200.25,1.47,51.56,0,4,2,2,1
TRZ00851,Cc1nnc(-c2ccc(-c3ccccc3)s2)nc1C,267.36,3.88,38.67,0,4,2,3,1
TRZ00852,Cc1nnc(-c2cn[nH]c2)nc1C,175.19,0.88,67.35,1,4,1,2,1
TRZ00853,Cc1nnc(-c2cn3ccsc3n2)nc1C,231.28,1.86,55.97,0,5,1,3,1
TRZ00854,Cc1nnc(-c2ccc3nccn3c2)nc1C,225.25,1.8,55.97,0,4,1,3,1
TRZ00855,Cc1nnc(-c2nn(C)c3ccccc23)nc1C,239.28,2.04,56.49,0,4,1,3,1
TRZ00856,COc1ccccc1SCc1nnc(C)c(C)n1,261.35,2.79,47.9,0,5,4,2,1
TRZ00857,Cc1nnc(CSc2ccccc2O)nc1C,247.32,2.49,58.9,1,5,3,2,1
TRZ00858,Cc1nnc(-c2cc(Br)ccn2)nc1C,265.11,2.31,51.56,0,4,1,2,1
TRZ00859,Cc1nsc(-c2nnc(C)c(C)n2)n1,207.26,1.32,64.45,0,6,1,2,1
TRZ00860,Cc1nnc(-c2cc(-c3ccc(F)cc3)nc3ccccc23)nc1C,330.37,4.51,51.56,0,4,2,4,1
TRZ00861,CCCOc1ccc(-c2nnc(C)c(C)n2)cc1OC,273.34,2.95,57.13,0,5,5,2,1
TRZ00862,Cc1nnc(-c2nn(CCC(C)C)c(=O)c3ccccc23)nc1C,323.4,2.91,73.56,0,5,4,3,1
TRZ00863,Cc1nnc(-c2nn(-c3ccccc3)cc2O)nc1C,267.29,2.05,76.72,1,5,2,3,1
TRZ00864,Cc1ccc(-c2cc(-c3nnc(C)c(C)n3)[nH]n2)cc1,265.32,2.85,67.35,1,4,2,3,1
TRZ00865,Cc1nnc(-c2cc(N)cc([N+](=O)[O-])c2)nc1C,245.24,1.65,107.83,1,6,2,2,1
TRZ00866,CSc1ccc(-c2nnc(C)c(C)n2)cc1,231.32,2.88,38.67,0,4,2,2,1
TRZ00867,CCc1ccc(-c2nnc(C)c(C)n2)cc1,213.28,2.72,38.67,0,3,2,2,1
TRZ00868,Cc1nnc(CNC(=O)COc2ccccc2)nc1C,272.31,1.18,77.0,1,5,5,2,1
TRZ00869,Cc1nnc(-c2cccc(S(=O)(=O)N3CCCC3)c2)nc1C,318.4,1.94,76.05,0,5,3,2,1
TRZ00870,CCCCOc1ccc(-c2nnc(C)c(C)n2)cc1OC,287.36,3.34,57.13,0,5,6,2,1
TRZ00871,Cc1nc(C)c(-c2nnc(C)c(C)n2)s1,220.3,2.23,51.56,0,5,1,2,1
TRZ00872,Cc1csc(-c2nnc(C)c(C)n2)c1Cl,239.73,3.18,38.67,0,4,1,2,1
TRZ00873,CCc1nc2ccccc2n1Cc1nnc(C)c(C)n1,267.34,2.45,56.49,0,4,3,3,1
TRZ00874,Cc1nnc(-c2ccc(S(=O)(=O)N3CCCC3)cc2)nc1C,318.4,1.94,76.05,0,5,3,2,1
TRZ00875,Cc1ccc(-c2nnc(C)c(C)n2)o1,189.22,2.06,51.81,0,4,1,2,1
TRZ00876,COc1ccc(-c2ccc(-c3nnc(C)c(C)n3)c(C)n2)cc1,306.37,3.53,60.79,0,5,3,3,1
TRZ00877,CCOc1ccccc1-c1nnc(C)c(C)n1,229.28,2.55,47.9,0,4,3,2,1
TRZ00878,CCOc1cccc(-c2nnc(C)c(C)n2)c1,229.28,2.55,47.9,0,4,3,2,1
TRZ00879,Cc1nnc(C(NC(=O)OC(C)(C)C)c2ccccc2)nc1C,314.39,3.1,77.0,1,5,3,2,1
TRZ00880,Cc1nnc(COc2ccccc2C#N)nc1C,240.27,1.94,71.69,0,5,3,2,1
TRZ00881,Cc1ccc(C(=O)Nc2ccccc2-c2nnc(C)c(C)n2)cc1,318.38,3.72,67.77,1,4,3,3,1
TRZ00882,Cc1ccc(-c2nnc(C)c(C)n2)s1,205.29,2.53,38.67,0,4,1,2,1
TRZ00883,Cc1nnc(-c2cc(-c3ccncc3)nc3ccccc23)nc1C,313.36,3.77,64.45,0,5,2,4,1
TRZ00884,Cc1nnc(Cc2ccccc2O)nc1C,215.26,1.78,58.9,1,4,2,2,1
TRZ00885,COc1cc(-c2nnc(C)c(C)n2)cc(OCc2ccccc2)c1OC,351.41,3.75,66.36,0,6,6,3,1
TRZ00886,Cc1nnc(-c2cc(F)ccc2N)nc1C,218.23,1.88,64.69,1,4,1,2,1
TRZ00887,Cc1nnc(-c2cc(-c3ccc(Br)cc3)on2)nc1C,331.17,3.57,64.7,0,5,2,3,1
TRZ00888,Cc1nnc(CS(=O)(=O)Nc2ncccn2)nc1C,280.31,0.22,110.62,1,7,4,2,1
TRZ00889,Cc1nnc(-c2cn(C3CC3)c3cc(N4CCN(C(=O)c5ccccc5)CC4)c(F)cc3c2=O)nc1C,498.56,3.91,84.22,0,6,4,4,1
TRZ00890,CNc1nc2ccc(-c3nnc(C)c(C)n3)cc2[nH]1,254.3,2.07,79.38,2,5,2,3,1
TRZ00891,Cc1nnc(-c2ccc3nc(NCCN4CCOCC4)[nH]c3c2)nc1C,353.43,1.78,91.85,2,7,5,3,1
TRZ00892,Cc1nnc(-c2n[nH]c3ccccc23)nc1C,225.26,2.03,67.35,1,4,1,3,1
TRZ00893,Cc1nnc(CNC(=O)c2ccc(F)cc2)nc1C,260.27,1.56,67.77,1,4,3,2,1
TRZ00894,Cc1nnc(CCc2nc3ccccc3[nH]2)nc1C,253.31,2.15,67.35,1,4,3,3,1
TRZ00895,Cc1nnc(CSCc2ccc(Cl)cc2Cl)nc1C,314.24,4.23,38.67,0,4,4,2,1
TRZ00896,COc1ccccc1NC(=O)N[C@@H](Cc1c[nH]c2ccccc12)c1nnc(C)c(C)n1,416.49,4.08,104.82,3,5,6,4,1
TRZ00897,CCCCc1nc2ccccc2n1Cc1nnc(C)c(C)n1,295.39,3.23,56.49,0,4,5,3,1
TRZ00898,CCn1cnc2c1c(=O)n(Cc1nnc(C)c(C)n1)c(=O)n2Cc1ccccc1,391.44,1.28,100.49,0,6,5,4,1
TRZ00899,Cc1nnc(C2CN(S(C)(=O)=O)c3cc(Cl)ccc3O2)nc1C,354.82,2.04,85.28,0,6,2,2,1
TRZ00900,Cc1nnc(-c2cccc(S(=O)(=O)Nc3cccc(C(F)(F)F)c3)c2)nc1C,408.41,3.98,84.84,1,5,4,3,1
TRZ00901,Cc1nc(C)c(-c2nnc(-c3ccccc3Cl)o2)cc1-c1nnc(C)c(C)n1,392.85,4.54,90.48,0,7,3,4,1
TRZ00902,COc1ccc2c(c1)C(Cc1nnc(C)c(C)n1)CCC2,283.38,3.16,47.9,0,4,3,2,1
TRZ00903,Cc1nnc(-c2[nH]cnc2N=NN(C)C2CCCCC2)nc1C,314.4,3.14,95.31,1,6,4,2,1
TRZ00904,Cc1nnc(-c2cnn(Cc3ccccc3)c2N)nc1C,280.34,1.98,82.51,1,5,3,3,1
TRZ00905,CCOc1ccc(CC(c2nnc(C)c(C)n2)c2nnc(C)c(C)n2)cc1CN(C)C,421.55,3.13,89.81,0,8,8,3,2
TRZ00906,CCn1cc(Br)c(-c2nnc(C)c(C)n2)n1,282.14,2.13,56.49,0,4,2,2,1
TRZ00907,COc1ccc2oc(C)c(-c3nnc(C)c(C)n3)c2c1,269.3,3.22,61.04,0,5,2,3,1
TRZ00908,Cc1nnc(-c2ccc(S(=O)(=O)N3CCc4ccccc43)cc2)nc1C,366.45,2.91,76.05,0,5,3,3,1
TRZ00909,Cc1nnc(-c2ccc(COc3cccc4ccccc34)cc2)nc1C,341.41,4.89,47.9,0,4,4,4,1
TRZ00910,Cc1nnc(-c2cc3c(N4CCC(Cc5ccccc5)CC4)ncnc3s2)nc1C,416.55,4.62,67.69,0,7,4,4,1
TRZ00912,Cc1nnc(C=C2CCN(c3ncc(C(F)(F)F)cc3Cl)CC2)nc1C,383.81,4.24,54.8,0,5,2,2,1
TRZ00913,Cc1nnc(CSc2c(-c3ccccc3)c3cc(Cl)ccc3[nH]c2=O)nc1C,408.91,4.94,71.53,1,5,4,4,1
TRZ00914,COc1ccccc1-c1c(-c2ccc(OCc3nnc(C)c(C)n3)cc2O)n[nH]c1C(F)(F)F,471.44,4.86,106.04,2,7,6,4,1
TRZ00915,COc1ccccc1-c1cn[nH]c1-c1ccc(OCc2nnc(C)c(C)n2)cc1O,403.44,3.84,106.04,2,7,6,4,1
TRZ00916,COc1ccc(-c2c(-c3ccc(OCc4nnc(C)c(C)n4)cc3O)n[nH]c2C(F)(F)F)cc1,471.44,4.86,106.04,2,7,6,4,1
TRZ00917,COc1ccccc1NS(=O)(=O)c1cccc(-c2nnc(C)c(C)n2)c1,370.43,2.96,94.07,1,6,5,3,1
TRZ00918,Cc1nnc(-c2ccc(COc3ccccc3)cc2)nc1C,291.35,3.73,47.9,0,4,4,3,1
TRZ00919,COc1cc(Cl)ccc1NC(=O)COc1ccccc1-c1nnc(C)c(C)n1,398.85,3.83,86.23,1,6,6,3,1
TRZ00920,Cc1nnc(COc2ccc(C3SCCS3)cc2)nc1C,319.46,3.55,47.9,0,6,4,2,1
TRZ00921,Cc1nnc(-c2cc3ncc(C(F)(F)F)cc3s2)nc1C,310.3,3.78,51.56,0,5,1,3,1
TRZ00922,Cc1nnc(CNC(=O)c2ccccc2[N+](=O)[O-])nc1C,287.28,1.33,110.91,1,6,4,2,1
TRZ00923,CSc1sc(-c2nnc(C)c(C)n2)c2c1C(O)CCC2,307.44,3.31,58.9,1,6,2,2,1
TRZ00924,Cc1nnc(-c2csc(-c3cn(C(C)C)c(=O)n(Cc4ccccc4)c3=O)n2)nc1C,434.53,3.23,95.56,0,7,5,4,1
TRZ00925,Cc1nnc(CN2C(=O)CSc3ccc(C(F)(F)F)cc32)nc1C,354.36,3.15,58.98,0,5,2,2,1
TRZ00927,Cc1nnc(CNC(=O)CNS(=O)(=O)c2ccccc2)nc1C,335.39,0.08,113.94,2,6,6,2,1
TRZ00930,Cc1nnc(C23CC4CC(C2)CC(n2ncnn2)(C4)C3)nc1C,311.39,1.72,82.27,0,6,2,2,1
TRZ00931,Cc1nnc(-c2cccc(S(=O)(=O)Nc3cc(Cl)ccc3Cl)c2)nc1C,409.3,4.26,84.84,1,5,4,3,1
TRZ00932,Cc1nnc(-c2nc(-c3ccccc3)n3c2CCCCC3)nc1C,319.41,3.75,56.49,0,4,2,3,1
TRZ00933,Cc1nnc(C(Cc2c[nH]c3ccccc23)NC(=O)c2ccc(OCC(C)C)cc2)nc1C,443.55,4.72,92.79,2,5,8,4,1
TRZ00934,Cc1nnc(-c2ccc(CN3CCCCC3)o2)nc1C,272.35,2.73,55.05,0,5,3,2,1
TRZ00935,CCOC(=O)c1cc(-c2nnc(C)c(C)n2)c(C)nc1C,286.33,2.34,77.86,0,6,3,2,1
TRZ00936,CCOC(=O)C1C(C(=O)Nc2ccccc2)C1c1nnc(C)c(C)n1,340.38,2.02,94.07,1,6,5,2,1
TRZ00937,Cc1nnc(C(C)Oc2ccc(-c3nccc(-c4ccccn4)n3)cc2)nc1C,384.44,4.15,86.57,0,7,5,4,1
TRZ00938,CCOc1ccc(S(=O)(=O)Nc2ccc(-c3nnc(C)c(C)n3)cc2)cc1,384.46,3.35,94.07,1,6,6,3,1
TRZ00939,Cc1nnc(C2CCCn3c2nc2sc4c(c2c3=O)CCCC4)nc1C,367.48,3.06,73.56,0,6,1,3,1
TRZ00940,Cc1nnn(C23CC4CC(CC(c5nnc(C)c(C)n5)(C4)C2)C3)n1,325.42,2.03,82.27,0,6,2,2,1
TRZ00941,Cc1nnc(CSc2nnc(-c3ccncc3)o2)nc1C,300.35,2.23,90.48,0,8,4,3,1
TRZ00942,Cc1nnc(Cn2c(SCc3ccccc3)nc3ccccc32)nc1C,361.47,4.18,56.49,0,5,5,4,1
TRZ00943,Cc1nnc(CSc2nc(-c3ccccc3)nc3c2CCCC3)nc1C,363.49,4.12,64.45,0,6,4,3,1
TRZ00944,Cc1nnc(C(C)Oc2ccc(F)cc2)nc1C,247.27,2.77,47.9,0,4,3,2,1
TRZ00945,Cc1nnc(C(C)Oc2ccc3c(C(F)(F)F)cc(=O)oc3c2)nc1C,365.31,3.75,78.11,0,6,3,3,1
TRZ00946,Cc1nnc(-c2cncn2-c2ccc(F)cc2)nc1C,269.28,2.48,56.49,0,4,2,3,1
TRZ00947,Cc1nnc(-c2nn(-c3ccc(Cl)cc3)ccc2=O)nc1C,313.75,2.35,73.56,0,5,2,3,1
TRZ00948,Cc1nnc(COc2cccc(Oc3ccccc3)c2)nc1C,307.35,3.86,57.13,0,5,5,3,1
TRZ00949,Cc1nnc(/C(=C/c2cccs2)NC(=O)c2ccccc2Cl)nc1C,370.87,4.13,67.77,1,5,4,3,1
TRZ00950,Cc1nnc(/C(=N/Nc2ccc(Cl)cc2)S(=O)(=O)c2ccc(Cl)cc2)nc1C,436.32,4.04,97.2,1,7,4,3,1
TRZ00951,Cc1nnc(CSc2nn(C)c(=O)n(C)c2=O)nc1C,294.34,-0.43,95.56,0,7,3,2,2
TRZ00952,Cc1nnc(CCCOc2ccc3c(CC(N)=O)c(C)n(Cc4ccccc4)c3c2)nc1C,443.55,3.84,95.92,1,5,9,4,1
TRZ00953,Cc1nnc(-c2nc3c(=O)[nH]c4cc(Cl)ccc4n3n2)nc1C,327.74,1.69,101.72,1,6,1,4,1
TRZ00954,Cc1nnc(CC(=O)Nc2ccccc2C(=O)O)nc1C,286.29,1.37,105.07,2,5,4,2,1
TRZ00955,Cc1nnc(Cc2ccc(-n3c(C)ccc3C)cc2)nc1C,292.39,3.49,43.6,0,3,3,3,1
TRZ00956,Cc1nnc(-c2cccc(-n3cccc3)c2)nc1C,250.31,2.95,43.6,0,3,2,3,1
TRZ00957,Cc1nnc(-c2ccc(N3CCc4ccccc43)c([N+](=O)[O-])c2)nc1C,347.38,3.76,85.05,0,6,3,3,1
TRZ00958,Cc1nnc(-c2cc(-c3ccc(Cl)cc3)nn2CC(O)COc2ccc(Cl)cc2)nc1C,470.36,4.77,85.95,1,6,7,4,1
TRZ00959,Cc1nnc(CC(=O)Nc2ccc(Cl)c(Cl)c2)nc1C,311.17,2.98,67.77,1,4,3,2,1
TRZ00960,Cc1nnc(CC(=O)Nc2ccc(F)c(Cl)c2)nc1C,294.72,2.46,67.77,1,4,3,2,1
TRZ00961,Cc1nnc(CNC(=O)c2cc(C34CC5CC(CC(C5)C3)C4)c3ccccc3n2)nc1C,427.55,4.43,80.66,1,5,4,3,1
TRZ00964,Cc1nnc(-c2nnn(Nc3ccc(F)cc3)c2C)nc1C,299.31,2.07,81.41,1,6,3,3,1
TRZ00967,Cc1nnc(-c2ccc(S(=O)(=O)c3ccc(N)cc3)cc2)nc1C,340.41,2.57,98.83,1,6,3,3,1
TRZ00968,Cc1nnc([C@H](Cc2cnc[nH]2)NC(=O)[C@@H](N)Cc2ccccc2)nc1C,365.44,1.18,122.47,3,6,7,3,1
TRZ00969,Cc1nnc([C@H](Cc2cnc[nH]2)NC(=O)[C@@H](N)CC(C)C)nc1C,331.42,0.98,122.47,3,6,7,2,1
TRZ00970,Cc1nnc(-c2cc(-c3ccccc3)nn2CC(O)COc2ccc(Cl)cc2)nc1C,435.92,4.11,85.95,1,6,7,4,1
TRZ00971,COc1ccccc1OCC(O)Cn1nc(-c2ccccc2)cc1-c1nnc(C)c(C)n1,431.5,3.47,95.18,1,7,8,4,1
TRZ00972,COc1ccccc1OCC(O)Cn1nc(-c2ccc(Cl)cc2)cc1-c1nnc(C)c(C)n1,465.94,4.12,95.18,1,7,8,4,1
TRZ00973,COc1ccc(-c2cc(-c3nnc(C)c(C)n3)n(CC(O)COc3ccc(Cl)cc3)n2)cc1,465.94,4.12,95.18,1,7,8,4,1
TRZ00974,COc1ccc(-c2cc(-c3nnc(C)c(C)n3)n(CC(O)COc3ccccc3OC)n2)cc1,461.52,3.48,104.41,1,8,9,4,1
TRZ00975,Cc1nnc(-c2sc(NC(=O)NC3CCCCC3)nc2C)nc1C,346.46,3.37,92.69,2,6,3,2,1
TRZ00976,Cc1nnc(-c2cn(COCCO)c3ccc(F)cc3c2=O)nc1C,344.35,1.58,90.13,1,6,5,3,1
TRZ00977,Cc1nnc(-c2cn(COCCO)c3ccc(Cl)cc3c2=O)nc1C,360.8,2.09,90.13,1,6,5,3,1
TRZ00978,Cc1cc(O)ccc1-n1cc(-c2nnc(C)c(C)n2)c(=O)c2ccc(-c3ccncc3)cc21,435.49,4.54,93.79,1,6,3,5,1
TRZ00982,Cc1nnc(C2=C(O)c3ccccc3S(=O)(=O)N2)nc1C,304.33,1.16,105.07,2,6,1,2,1
TRZ00984,Cc1nnc(CCn2ccc(=O)[nH]c2=O)nc1C,247.26,-0.42,93.53,1,5,3,2,1
TRZ00985,Cc1nnc(CNc2ccc(N3CCOCC3)nc2)nc1C,300.37,1.33,76.06,1,7,4,2,1
TRZ00987,Cc1nnc(Cc2nc3sc4c(c3c(=O)[nH]2)CCCC4)nc1C,327.41,2.26,84.42,1,6,2,3,1
