Triazine_ID,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,n_triazine_rings
TRZ00047,Cc1nnc(-c2ccccc2OCc2ccccc2)nc1C,291.35,3.73,47.9,0,4,4,3,1
TRZ00048,Cc1nnc(-c2[nH]c3ccc(S(N)(=O)=O)cc3c2-c2ccccc2)nc1C,379.45,2.95,114.62,2,5,3,4,1
TRZ00049,Cc1nnc(-c2cc(-c3ccc(N)cc3)nc3ccc(Br)cc23)nc1C,406.29,4.72,77.58,1,5,2,4,1
TRZ00050,Cc1nnc(-c2ccc3ccccc3n2)nc1C,236.28,2.7,51.56,0,4,1,3,1
TRZ00051,COC(=O)c1ccc(-c2nnc(C)c(C)n2)cc1,243.27,1.94,64.97,0,5,2,2,1
TRZ00053,Cc1nnc(-c2cccnc2Oc2ccccc2)nc1C,278.31,3.34,60.79,0,5,3,3,1
TRZ00054,Cc1nnc(C(=O)Nc2ccc(Cl)c(Cl)c2)nc1C,297.15,3.05,67.77,1,4,2,2,1
TRZ00055,Cc1nnc(-c2ccc([N+](=O)[O-])o2)nc1C,220.19,1.66,94.95,0,6,2,2,1
TRZ00056,Cc1nnc(-c2c[nH]c3ccccc23)nc1C,224.27,2.64,54.46,1,3,1,3,1
TRZ00057,Cc1nnc(-c2cc(Cl)ccn2)nc1C,220.66,2.2,51.56,0,4,1,2,1
TRZ00058,COc1c(Cl)cc(-c2nnc(C)c(C)n2)cc1Cl,284.15,3.47,47.9,0,4,2,2,1
TRZ00059,COc1ccc(/C=C/c2nnc(C)c(C)n2)cc1,241.29,2.67,47.9,0,4,3,2,1
TRZ00060,Cc1nnc(-c2ccc(O)cc2O)nc1C,217.23,1.57,79.13,2,5,1,2,1
TRZ00061,Cc1nnc(C(C)Oc2cccc(Cl)c2)nc1C,263.73,3.28,47.9,0,4,3,2,1
TRZ00062,Cc1cccc(-c2nnc(C)c(C)n2)c1,199.26,2.46,38.67,0,3,1,2,1
TRZ00063,COc1ccccc1OCc1nnc(C)c(C)n1,245.28,2.08,57.13,0,5,4,2,1
TRZ00065,Cc1nnc(-c2cc3c(s2)CCC(C)C3)nc1C,259.38,3.34,38.67,0,4,1,2,1
TRZ00066,Cc1nnc(CC2Sc3ccccc3NC2=O)nc1C,286.36,2.14,67.77,1,5,2,2,1
TRZ00067,Cc1nnc(-c2cn3ccccc3n2)nc1C,225.25,1.8,55.97,0,4,1,3,1
TRZ00068,Cc1nnc(-c2ncccn2)nc1C,187.21,0.95,64.45,0,5,1,2,1
TRZ00069,Cc1nnc(-c2cccnn2)nc1C,187.21,0.95,64.45,0,5,1,2,1
TRZ00070,Cc1nnc(-c2ccc(Cl)cc2Cl)nc1C,254.12,3.46,38.67,0,3,1,2,1
TRZ00071,Cc1nnc(CSc2nnc(-c3ccccc3)n2-c2ccccc2)nc1C,374.47,4.03,69.38,0,6,5,4,1
TRZ00072,Cc1nnc(-c2nc3ccccc3s2)nc1C,242.31,2.77,51.56,0,5,1,3,1
TRZ00073,Cc1nnc(-c2cncc(Br)c2)nc1C,265.11,2.31,51.56,0,4,1,2,1
TRZ00074,Cc1cc(-c2nnc(C)c(C)n2)n[nH]1,189.22,1.19,67.35,1,4,1,2,1
TRZ00075,Cc1nnc(-c2nc(Cl)c(Cl)c(N)c2Cl)nc1C,304.57,3.09,77.58,1,5,1,2,1
TRZ00076,Cc1nnc(-c2cc(Cl)ccc2Cl)nc1C,254.12,3.46,38.67,0,3,1,2,1
TRZ00077,Cc1nnc(-c2ccccc2CO)nc1C,215.26,1.65,58.9,1,4,2,2,1
TRZ00078,Cc1nnc(COc2ccc(F)cc2)nc1C,233.25,2.21,47.9,0,4,3,2,1
TRZ00079,Cc1nnc(-c2cc(Br)cs2)nc1C,270.15,2.98,38.67,0,4,1,2,1
TRZ00080,Cc1nnc(-c2ccc(-c3nnc(C)c(C)n3)cc2)nc1C,292.35,2.62,77.34,0,6,2,3,2
