cmplx_smiles_neutral_std,Exp LgK1
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O.[H+],10.14
O=S(=O)([O-])[O-].[Cu+2],0.7
CC(=O)O.[Mg+2],0.81
CCN(CC)CP(=O)(O)O.[H+],11.55
CCOC(=O)CN.[Co+2],1.43
CC(NC(=O)CN)C(=O)O.[H+],8.19
O=Nc1cc(S(=O)(=O)O)c2cc(S(=O)(=O)O)ccc2c1O.[Ni+2],5.56
O=P(O)(O)CP(=O)(O)O.[K+],1.02
NCCNCCNCCN.[Cr+2],7.33
O=C(O)CSCCSCCSCC(=O)O.[H+],3.97
C[C@H](O)C(=O)O.[Ca+2],1.05
N#C[S-].[Fe+3],2.12
Cc1ccc(O)c(O)c1.[H+],12.75
NCC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O.[Cu+2],17.56
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.[Sr+2],2.43
NC(Cc1nccs1)C(=O)O.[H+],8.38
O=C(O)CC(=O)O.[H+],5.269
C[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(=O)O.[Co+2],2.64
NC(Cc1cnc[nH]1)C(=O)O.[Ni+2],8.62
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.[H+],6.97
O=C1/C(=N/Nc2ccc(S(=O)(=O)O)c3ccccc23)C=C(S(=O)(=O)O)c2cccnc21.[Cu+2],9.9
C/C(=C/C(=O)O)C(=O)O.[Pr+3],3.87
CN1CCNCCOCCOCCCCOCCOCCN(C2CCCCCCCCCCCCCCCCCCCCCCCCC2)CCN(C)CC1.[Co+2],4.9
CC(CO)(CO)C(=O)O.[Yb+3],2.3
CC(N)(CO)CO.[H+],8.79
O=C(O)c1cc(S(=O)(=O)O)ccc1O.[Cu+2],9.57
C1CNCCNCCNCCNCCNCCN1.[Lu+3],11.8
CC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O.[Pr+3],16.97
CC(=O)O.[Cd+2],2.35
CCC(CNCCN)(CNCCN)CNCCN.[Cu+2],22.7
Cc1ccncc1.[H+],6.17
C1CCNCCN2CCNCCCCCNCCN(CCNCC1)CCNCCCCCNCC2.[H+],10.35
Cc1occc(=O)c1O.[Y+3],6.7
O=P(O)(O)OCC(O)CO.[Zn+2],2.13
O=P(O)(O)c1ccccc1N=Nc1c(O)c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)ccc12.[H+],11.1
