cmplx_smiles_neutral_std,Exp LgK1
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[Pb+2],18.2
NC(N)=O.[Fe+2],0.41
O=C(O)CN(CCN(CC(=O)O)Cc1ccccc1)CC(=O)O.[Cu+2],16.8
O=S(=O)(O)c1ccc2cc(O)c(O)cc2c1.[La+3],8.31
OCCN1CCCN(CCO)CCN(CCO)CCCN(CCO)CC1.[H+],8.83
c1ccc(CN(Cc2ccccn2)Cc2ccccn2)nc1.[Yb+3],2.03
NC(=S)N/N=C/c1ccccc1.[Cu+2],11.48
O=C(O)c1ccccc1Cl.[Mg+2],0.681
CC(=NO)C(C)(C)NCCCNC(C)(C)C(C)=NO.[H+],8.97
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN.[H+],10.79
O=C(O)CN(CC(=O)O)CC(=O)O.[Nd+3],10.05
NC1(C(=O)O)CCCCC1.[Co+2],4.47
O=C(O)CC(O)C(=O)O.[H+],4.78
N[C@@H](CCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O)C(=O)O.[H+],9.33
NCC(=O)O.[Hg+2],10.5
[Br-].[Ni+2],-0.82
O=C(O)CCC(=O)O.[Ca+2],1.2
[Br-].[Zn+2],0.7
Nc1nc2c(ncn2COCCO)c(=O)[nH]1.[H+],9.2
O=C(O)CN(CCN(CC(=O)O)c1ccccc1O)c1ccccc1O.[Ga+3],32
NC(=O)c1ccc(N)cc1O.[Fe+3],10.7
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Cu+2],8.23
O=C([O-])[O-].[H+],9.87
O=CO.[Cu+2],1.7
COC(=O)C(N)Cc1cnc[nH]1.[H+],7.37
O=C(O)c1cc([N+](=O)[O-])ccc1O.[Cu+2],7.8
NC(=O)Cc1cnc[nH]1.[H+],11.657
C1CNCCSCCN1.[H+],9.67
NC(Cc1ccccc1)C(=O)O.[H+],9.3
COCCN1CCN(CCOC)CCN(CCOC)CCN(CCOC)CC1.[H+],10.92
NCP(=O)(O)O.[Cu+2],8.1
c1ccncc1.[H+],5.41
NC(=O)CCNCCNCCC(N)=O.[H+],8.79
c1cc2ccc1CNCCNCCNCc1ccc(cc1)CNCCNCCNC2.[H+],9.48
CC(C)(O)C(=O)O.[Dy+3],2.272
O=C(O)CSC(CC(=O)O)C(=O)O.[Tb+3],4.01
NCc1cccc(-c2cccc(CN)n2)n1.[H+],9.11
CN1CCN2CCCSCCCN(CC1)CCN(C)CC2.[H+],11.91
NNC(N)=S.[H+],2.02
O=P(O)(O)CN(CCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O.[Zn+2],19.1
O=C(O)CN(CCO)CCO.[H+],8.08
Cc1cc(C)[nH]n1.[Cu+2],1.91
C1CNCCN1.[Ag+],3.33
CC1CCNCC1.[Ag+],3.26
O=C(O)CCc1ccccc1.[Dy+3],1.96
C1COCCN2CCOCCOCCN(CCO1)CCOCC2.[Sm+3],6.76
O=C(O)C(=O)O.[H+],3.55
O=C(O)CCCCC(=O)O.[H+],5.11
O=C(O)CCSCCC(=O)O.[H+],4.7
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[Zn+2],16.26
O=c1cc(CO)occ1O.[Mg+2],3
CSCC[C@H](NC(=O)[C@@H](N)CSC)C(=O)O.[Cu+2],5.34
NCCN.[Zn+2],6.2
O=C(O)CN(CCO)CC(=O)O.[Ni+2],9.15
OCCN1CCN(CCO)CCN(CCO)CC1.[Pb+2],12.22
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.[Mg+2],3.23
N.[Ni+2],2.61
Nc1cccc(=O)c(O)c1.[H+],7.47
O=C(O)C(NCCNC(C(=O)O)C(=O)O)C(=O)O.[Ca+2],5.18
NC(=O)CN(CC(=O)O)CC(=O)O.[Ca+2],3.29
O=P(O)(O)CN(CP(=O)(O)O)CP(=O)(O)O.[Cu+2],16.19
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(N)=O)C(C)C.[H+],6.93
O=C(O)C1(C(=O)O)CCC1.[H+],5.48
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O.[H+],6.13
NCCN.[Cu+2],10.6
CC(C)(O)C(=O)O.[Ce+3],2.37
c1c[nH]cn1.[Cd+2],2.67
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O.[Co+2],18.78
NC(Cc1ccc(O)c(O)c1)C(=O)O.[H+],13.4
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.[Ni+2],4.5
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.[Zn+2],5.23
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O.[Cu+2],15.09
Oc1cc2ccccc2cc1O.[H+],10.9
CCCCC(N)C(=O)O.[Cd+2],5.49
C1CNCCNCCCNCCNC1.[Zn+2],15.5
CN1CCOCCN(C)CC1.[Ni+2],8.1
OCCN1CCOCCN(CCO)CCN(CCO)CCOCCN(CCO)CC1.[Zn+2],5.9
c1ccc(CC2=NCCN2)cc1.[Zn+2],2
COc1ccccc1C(=O)O.[Sm+3],2.1
O=C1CC(=O)N(c2ccccc2)C(=S)N1.[Co+2],6.65
CSCCN(CC(=O)O)CC(=O)O.[Mn+2],5.1
CN(C)CCN(C)CCN(C)C.[Cu+2],12.16
O=C(O)C(=O)O.[H+],3.57
CC(=O)CC(C)=O.[Ni+2],5.72
O=C(O)CCN1CCN(CCC(=O)O)Cc2cccc(n2)CN(CCC(=O)O)CC1.[H+],10.72
O=C(O)c1ccccc1.[Yb+3],1.94
N.[Cu+2],4.14
OCCNCCO.[H+],9.32
Nc1nc(=O)c2[nH]cnc2[nH]1.[Zn+2],8.54
CN(C)CP(=O)(O)O.[Zn+2],5.45
O=[N+]([O-])[O-].[Eu+3],-0.26
NCC(N)C(=O)O.[Cu+2],11.54
O=C(CC(=O)C(F)(F)F)c1cccs1.[Fe+3],7.02
c1ccc(-c2ccccn2)nc1.[Cu+2],6.44
N#C[S-].[Ni+2],1.18
O=C(O)CNCC(=O)O.[Cu+2],10.56
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C.[Co+2],4.13
CC(=NO)C(=O)O.[H+],11.608
CCCC(=O)O.[Mg+2],1.01
NCCc1cccc(CCN)n1.[H+],10.34
CC(C)CC(NC(=O)CN)C(=O)NCC(=O)O.[H+],7.95
CC(C)CC(N)C(=O)O.[Cu+2],8.41
CCCC[Se]CC(=O)O.[Cu+2],1.95
O=C(NO)c1ccccc1O.[Cr+3],8.54
CC(=O)CC(=O)C(F)(F)F.[H+],6.06
O=C(O)C(=O)O.[H+],4.19
O=C(O)CCSCC(=O)O.[Ag+],4.4
CC(C)[C@H](NC(=O)CN)C(=O)O.[H+],8.233
CC(N)C(=O)O.[H+],9.88
C=C(C)C(N)C(=O)O.[Ni+2],5.313
Cc1ccc(S(=O)(=O)N[C@@H](CCC(N)=O)C(=O)O)cc1.[Cu+2],9.03
O=S(=O)([O-])[O-].[Fe+3],1.924
O=C(O)CC(O)C(=O)O.[La+3],4.51
CC(N)C(=O)O.[Fe+3],10.4
C1CNCCNCCNCCN1.[Ni+2],16.3
CC(CO)(CO)N=CC(=O)O.[Mg+2],1.96
NCc1cccnc1.[Cu+2],1.97
CN(C)c1ccncc1.[H+],9.68
O=C(O)CSCCSCC(=O)O.[Pb+2],3.62
O=C(O)CN(CC(=O)O)C1C(=O)NC(=O)NC1=O.[Na+],2.42
[Cl-].[In+3],2.15
CSCCC(N)C(=O)O.[H+],9.22
CC(NCC(=O)[C@@H](O)[C@H](O)[C@H](O)CO)C(=O)O.[Ni+2],4.13
c1cc2nc(c1)CNCCNCCNC2.[Zn+2],14.4
CN(C)CCN1CCCN(C)CCN(C)CCCN(C)CC1.[H+],9.92
CC(N)C(=O)NC(CC(N)=O)C(=O)O.[Cu+2],5.65
O=C(O)[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.[H+],9.4
CCCC(O)C(=O)O.[Lu+3],2.76
Oc1ccccc1N=Nc1c(O)ccc2ccccc12.[H+],12.4
CCN(CC)CCN.[H+],10.02
c1ccc(-c2ccccn2)nc1.[Cd+2],4.33
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O.[Ru+3],27.23
O=C(O)CN(CC(=O)O)c1ccccc1.[Cu+2],6.57
C[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O.[Cu+2],5.01
Cc1cn(C)c(=O)[nH]c1=O.[H+],9.95
O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O.[Al+3],7.53
CCN.[Sn+4],7.35
NCCCC[C@H](NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CNC(=O)[C@@H](N)CCCCN)C(=O)O.[Ni+2],15.3
O=C(O)CCCO.[Cu+2],1.8
N[C@@H]1CCCC[C@H]1C(=O)O.[Cu+2],7.322
O=C(O)CN(CC(=O)O)CP(=O)(O)O.[Ce+3],12.8
C[C@@H](O)[C@H](N)C(=O)NO.[Fe+3],11.79
O=C(CCCCCCCCC(=O)NO)NO.[Ca+2],4.94
NC(=O)CN1CCOCCOCCN(CC(N)=O)CCOCCOCC1.[Pb+2],10.7
O=C(O)CN(CC(=O)O)C1C(=O)NC(=O)NC1=O.[Pb+2],12.73
NCCO.[H+],9.65
NC(CCN1CCC1C(=O)O)C(=O)O.[Zn+2],10.25
O=c1cc[nH]c(=O)[nH]1.[Mn+2],3.45
c1ccc(CCc2ccccn2)nc1.[Zn+2],1.4
O=C(O)CN1CCN(CCCO)CCN(CC(=O)O)CCN(CC(=O)O)CC1.[H+],10.89
O=C(O)C[Se]CC(=O)O.[Pb+2],3.2
O=S(=O)(O)C1(N=Nc2c(O)c3ccccc3c3ccccc23)C=CC=CC1.[H+],12.7
NCC(O)c1ccc(O)c(O)c1.[Sr+2],4.42
CN1CCCN(C)CCN(C)CCCN(C)CC1.[Cu+2],17.7
O=C(O)COc1ccccc1OCC(=O)O.[Ho+3],4.11
O=C(O)C1CCCC(C(=O)O)N1CCN1C(C(=O)O)CCCC1C(=O)O.[Mg+2],6.36
O=Nc1cc(S(=O)(=O)O)c2cccc(S(=O)(=O)O)c2c1O.[H+],6.66
[O-][Cl]=O.[H+],1.3
O=C(C(=S)C(=O)c1ccccc1)c1ccccc1.[Ho+3],9.26
NC(Cn1ccc(=O)c(O)c1)C(=O)O.[Cd+2],5.87
CN(C)c1ccc(C=CC(=O)C(=O)O)cc1.[Zn+2],1.254
[Cl-].[Cu+2],0.74
CCC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O.[Fe+3],25.65
O=S(=O)([O-])[O-].[Pu+4],2.84
[O-]I(=O)=O.[Cd+2],0.51
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]1O.[Mn+2],2.25
NC(CC(=O)O)C(=O)O.[H+],9.65
CC(=O)O.[Sm+3],2
CCN(CC)C(=O)c1cccnc1.[Co+2],0.85
CC1(N)CNC2CCCCC2NCC(C(=O)O)CNC2CCCCC2NC1.[H+],10.4
CN(C)CCN(C)CCN(C)CCN(C)C.[Cu+],11
NCC(=O)O.[Zn+2],5.46
c1ccncc1.[Cd+2],1.1
NCC(=O)O.[Co+2],4.51
O=C(O)CSC(SCC(=O)O)c1ccccc1C(SCC(=O)O)SCC(=O)O.[Mg+2],3.78
CC(C)(C(=O)O)C(=O)O.[Nd+3],4.95
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[H+],10.39
CN(Cc1ccccc1)C(P(=O)(O)O)P(=O)(O)O.[Ca+2],4.2
CSCCC(NC(=O)CN)C(=O)O.[Cu+2],7.17
Nc1nc(=O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1.[H+],8.91
C=CCCc1ccccn1.[H+],5.882
CC(C)C(NCC(=O)[C@@H](O)[C@H](O)[C@H](O)CO)C(=O)O.[H+],7.71
c1cnc2c(c1)ccc1cccnc12.[H+],4.99
CCC(=O)O.[Zn+2],0.99
OC(c1ccccn1)(c1ccccn1)c1ccccn1.[Ni+2],6.2
C1CNCCNCCCNCCNC1.[Zn+2],15.28
Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1.[Co+2],3.86
O=C1CC(=O)NC(=S)N1.[Co+2],6.14
CN1CCN(C)CCN(Cc2cccs2)CCN(C)CCN(Cc2cccs2)CCN(C)CC1.[H+],8.97
Nc1ncnc2nn(CCOCP(=O)(O)O)nc12.[Ca+2],1.59
CSC[C@H](NC(=O)CN)C(=O)O.[H+],8.12
c1c[nH]cn1.[Co+2],2.53
CCCC(CCC)(C(=O)O)C(=O)O.[Sm+3],4.38
O=C(O)c1ccccn1.[H+],5.17
CSCCC(N)C(=O)O.[Co+2],6
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.[Ni+2],4.54
O=C(O)CN(CC(=O)O)C1C(=O)NC(=O)NC1=O.[Pb+2],12
O=C(O)Cc1ccc(O)cc1.[H+],9.99
NC(CCC(=O)O)C(=O)O.[H+],9.61
O=S(=O)(O)C(O)c1cccnc1.[Zn+2],7.58
[F-].[Gd+3],3.69
NC1CCCCC1N.[Co+2],6.37
C1CNCCCNCCCNCCCNCCCNCCCNC1.[H+],10.96
NCC(=O)NCC(=O)O.[H+],8.13
c1ccc(-c2ccccn2)nc1.[H+],4.11
NCC(=O)O.[Cd+2],4.05
O=C(O)CN(CCO)CC(=O)O.[Sr+2],3.77
Cc1cccc(C(O)S(=O)(=O)O)n1.[H+],9.88
O=C(O)C1OC(C(=O)O)C(C(=O)O)C1C(=O)O.[Tm+3],10.37
O=C(O)CC(O)(CC(=O)O)C(=O)O.[Ca+2],3.54
COc1ccccc1[Se]CC(=O)O.[Cu+2],1.65
NCCN.[Cu+2],10.45
NC(CCC(=O)O)C(=O)O.[Sm+3],4.087
c1cscn1.[H+],2.71
NC(CCC(=O)O)C(=O)O.[Ca+2],2.63
O=C(O)c1ccc(O)cc1.[Dy+3],1.64
O=P(O)(O)OCC(O)CO.[Sr+2],1.23
O=C(NO)c1ccccc1.[Cu+2],7.63
NC(CO)C(=O)O.[H+],8.708
C[C@@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)O.[Cu+2],5.32
CO[P+](=O)O.[Zn+2],2.6
CSCc1ccccn1.[Cu+2],3.27
NCC(=O)NCC(=O)NCC(=O)NCC(=O)O.[Cu+2],5.16
NCCCCCCO.[H+],10.96
O=C(O)C(O)C(O)C(=O)O.[H+],4.25
O=C(O)CN(CCO)CCO.[Yb+3],7.7
COc1cc[n+]([O-])c(C(=O)O)c1.[Cu+2],3.94
NCCN.[Ni+2],7.56
NCCc1cnc[nH]1.[Cu+2],9.58
O=P(O)(O)CN(CCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O.[Tm+3],21.41
O=S(=O)([O-])[O-].[Bi+3],1.97
O=C(O)C(=O)O.[Zr+4],11.1
O=C(O)CS.[H+],10.19
[F-].[K+],-1.7
CC(C)(CN)CNC(=O)CCC(=O)NCC(C)(C)CN.[H+],8.84
NC(CS)C(=O)O.[H+],10.26
O=C(O)CC(NC(CC(=O)O)C(=O)O)C(=O)O.[Nd+3],12.38
CSCCN(CC(=O)O)CC(=O)O.[Zn+2],8.28
Cc1c[nH]c(=O)[nH]c1=O.[H+],9.76
NCCc1cnc[nH]1.[Ni+2],6.87
O=C(O)c1ccccc1O.[Cu+2],10.85
CC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O.[H+],8.76
O=S(=O)(O)CC(O)CN(CCO)CCO.[H+],7.6
CN(CC(=O)NCC(=O)O)C(=O)CNC(=O)CN.[Cu+2],5.13
O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1.[K+],1.5
S=C(N=Nc1ccccc1)NNc1ccccc1.[Pd+2],11.39
CC(C)(O)C(=O)O.[Yb+3],3.29
O=C(O)CN(CCO)CC(=O)O.[Co+2],8.05
O=C(O)CN(CC(=O)O)CC(=O)O.[Be+2],7.1
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Fe+3],9
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O.[Mn+2],2.14
CC(C)N(CCO)C(C)C.[H+],10.14
O=c1c(O)c(O)c1=O.[Yb+3],2.735
CC(C)/C=C\c1ccccc1.[Ag+],1.14
O=C(CCCCC(=O)NO)NO.[Al+3],14.2
O=c1c(O)c(O)c1=O.[Th+4],4.08
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O.[H+],10.39
NC(CS)C(=O)O.[Pr+3],6.586
O=C(O)CCSC(SCCC(=O)O)C(SCCC(=O)O)SCCC(=O)O.[Zn+2],3
Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1.[Cd+2],1.07
O=C(O)C1CC(O)CN1.[Cu+2],8.46
O=C(O)c1ccccc1.[Zn+2],1.7
c1c[nH]cn1.[Ni+2],3.106
O=C(O)CN(CC(=O)O)CC(=O)O.[Zn+2],10.66
CCC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O.[Cu+2],19.96
O=S(=O)(O)C(O)c1cccnc1.[Co+2],7.54
CN1CCCN(CC(=O)O)Cc2cccc(n2)CN(CC(=O)O)CCC1.[Ga+3],18.02
CSc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O.[H+],1.23
C[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O.[H+],10.58
O=C(O)CN(CCO)CC(=O)O.[Th+4],10.7
O=C(O)c1cccs1.[Zn+2],2.42
Oc1ccc(Br)c2cccnc12.[Er+3],20.09
O=C(O)c1ccccn1.[Hg+2],8.16
N[C@@H](CCC(=O)O)C(O)=S.[Mg+2],2.58
CC(=O)C(=O)O.[Cu+2],1.2
CC(C)[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(N)=O.[Cu+2],15.32
Cc1ccc2ccc3ccc(C)nc3c2n1.[H+],5.85
C1COCCNCCOCCOCCN1.[Cu+2],7.17
NC(CO)C(=O)O.[Co+2],4.58
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[Zn+2],16.24
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]1O.[Ni+2],2.75
NCCc1cnc[nH]1.[Cu+2],9.163
NC(=O)CN1CCN(CC(N)=O)CCN(CC(N)=O)CCN(CC(N)=O)CC1.[Gd+3],10.49
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.[Ni+2],4.43
Cn1ccnc1C(O)(c1nccn1C)c1nccn1C.[Ni+2],4.85
NC(Cc1ccccc1)C(=O)O.[La+3],2.78
c1ccc(CN2CCNCCNCC2)c(CN2CCNCCNCC2)c1.[Cu+2],22.19
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.[Ca+2],2.92
NC(=O)CC[C@H](N)C(=O)O.[H+],8.91
O=P([O-])([O-])OP(=O)([O-])[O-].[Be+2],10.08
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[Eu+3],17.4
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Cu+2],7.98
c1cnc2c(c1)ccc1cccnc12.[Ca+2],1.09
CC(N)C(=O)O.[Zn+2],4.55
NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)O.[Cu+2],5.88
c1ccc2ncccc2c1.[Co+2],2.6
NCC(=O)N[C@@H](Cc1ccccc1)C(=O)O.[Yb+3],2.75
CN1C(=O)C(=NO)C(=O)N(C)C1=O.[H+],4.61
NC(CCC(=O)O)C(=O)O.[Cd+2],4.48
[N-]=[N+]=[N-].[Tl+],0.4
Nc1ccc(C(=O)O)cc1.[Eu+3],2.12
C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2.[Cd+2],6.8
c1ccc(CNCCNCCNCCNCCNCc2ccccc2)cc1.[Co+2],12.67
O=P([O-])([O-])OP(=O)([O-])[O-].[Na+],0.21
C[C@H](N)c1ccccn1.[Cu+2],9.07
CC(CO)(CO)C(=O)O.[Tb+3],2.3
[F-].[Cd+2],3.2
O=c1nc[nH]c2c1ncn2C1OC(CO)C(O)C1O.[Dy+3],4.52
[C-]#N.[Hg+2],18
O=C(O)C1CC(O)CN1.[Zn+2],5.84
CCOC(=O)[C@H](CS)NC(=O)[C@@H](N)CS.[H+],9.72
NC(=O)N=C(N)N.[H+],8.2
NCC(=O)O.[Zn+2],4.93
O=C(O)c1ccccc1C(=O)O.[Cu+2],3.03
O=C(O)CC(=O)O.[Zn+2],2.74
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O.[Sn+4],6.99
NC(N)=S.[Ag+],7.3
O=C(O)CC(O)(CC(=O)O)C(=O)O.[Y+3],6.79
O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1.[H+],9.47
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O.[Pb+2],10.57
N[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Cu+2],7.75
C/C(=C/C(=O)O)C(=O)O.[Sc+3],5.64
NCC(O)c1ccc(O)c(O)c1.[Mn+2],8.58
NC(Cc1cnc[nH]1)C(=O)O.[Cu+2],10.42
CC(=O)N[C@H](C(=O)O)C(CC(=O)O)C(=O)O.[H+],4.82
CC(=O)CC(=O)c1ccccc1.[Ni+2],4.41
O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O.[Lu+3],4.6
O=C(O)CN(CC(=O)O)CC(O)CO.[Pr+3],8.33
Nc1cccc2cccnc12.[Mg+2],1.43
Nc1cccc(N)c1.[Cu+2],3.98
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O.[In+3],29.6
CCCC(=O)O.[Co+2],0.62
Cn1c(NCC(=O)NCC(=O)O)nc(N)c(N=O)c1=O.[H+],10.39
O=C([O-])[O-].[Cu+2],6.2
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O.[Nd+3],16.28
O=C(O)CN(CCN(CC(=O)O)c1ccccc1O)c1ccccc1O.[Pb+2],18.4
NCCc1cnc[nH]1.[Cu+2],9.24
NC(CCC(=O)O)C(=O)O.[H+],9.67
NCC(N)=O.[H+],8.04
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O.[Zn+2],0.2
O=C(O)CNCC(=O)O.[Cr+2],5.01
Nc1ccc(Br)cc1.[H+],3.92
Cc1ncc(CO)c(CN)c1O.[Zn+2],6.6
O=C(O)c1cc(S(=O)(=O)O)ccc1O.[H+],11.3
O=C(O)CN1CCCN(CC(=O)O)CCN(CC(=O)O)CCCN(CC(=O)O)CC1.[Ca+2],9.48
C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](N)CCC(=O)O)C(=O)O.[Ni+2],3.7
O=C(O)CN[C@@H](CC(=O)O)C(=O)O.[Mg+2],4.57
NCCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O.[Cu+2],9.72
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O.[Y+3],17.01
N#C[S-].[Cm+3],0.45
O=C(O)C1CCCN1.[Mn+2],3.34
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O.[Ga+3],16.9
OCCN1CCN(CCO)CC1.[Ca+2],2.03
NCC(=O)NCC(=O)O.[H+],8.089
O=S(=O)(O)c1ccc2c(N=Nc3nnn[nH]3)c(O)c(S(=O)(=O)O)cc2c1.[Pb+2],8.91
O=C(O)COCC(=O)O.[Al+3],3.43
O=C(O)CCCO.[Cd+2],1.45
CC(C)C[C@@H](N)C(=O)N[C@H](CC(C)C)C(=O)O.[H+],7.895
C[C@H](O)C(=O)O.[Hf+4],5.61
O=C(O)CCC(NCCNC(CCC(=O)O)C(=O)O)C(=O)O.[Be+2],8.5
O=C(O)c1ccccc1C(=O)O.[Nd+3],4.22
OCCN1CCOCCOCCN(CCO)CCOCCOCC1.[Ca+2],4.08
NC(Cc1ccccc1)C(=O)O.[Ag+],4.3
O=c1cc(CO)occ1O.[Eu+3],6.026
NC(CS)C(=O)O.[H+],10.25
O=C(O)CN1CCNCCN(CC(=O)O)CCOCC1.[H+],11.24
O=C(O)CNCC(=O)O.[Cu+2],10.42
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[Cr+3],23.1
CC(C)CC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O.[Ce+3],17.02
O=C(O)/C=C\C(=O)O.[Cu+2],4.02
O=C(O)C(=O)O.[H+],3.68
O=S(=O)(O)CCN1CCOCC1.[Mg+2],0.5
O=C(O)CN(CC(=O)O)CC(=O)O.[Fe+3],14.78
NCCN(CCN)CCN.[Zn+2],14.65
Oc1ccc(Br)cc1CC1CNCCCNCCCNC1.[H+],10.1
Cc1occc(=O)c1O.[Eu+3],6.72
C=CCCc1ccccn1.[Co+2],1.2
NCC(N)C(=O)O.[Cu+2],9.87
Cc1c(O)c(=O)ccn1C.[H+],9.7
[Cl-].[Es+3],-0.02
N[C@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO.[Cd+2],4.2
O=C(O)c1ccccn1.[Sm+3],3.97
c1ccncc1.[H+],5.45
NC(CC(=O)O)C(=O)O.[Cu+2],8.57
NC(N)=NCCCC(N)C(=O)O.[Co+2],4.02
NC[PH](=O)O.[Co+2],2.96
c1c[nH]cn1.[Cu+2],4.25
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O.[Cu+2],16.9
O=C(O)CNC(=O)CNC(=O)CN(CC(=O)O)CC(=O)O.[Zn+2],7.63
O=C(O)CN(CC(=O)O)CC(=O)O.[Be+2],8.44
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O.[Cu+2],3.12
CCCCNC(c1c[nH]cn1)P(=O)(O)O.[Cu+2],14.73
CN(CC(=O)O)CC(=O)O.[Co+2],7.6
O=c1cc(CO)oc(Br)c1O.[Zn+2],4.59
O=C(O)CN(CCSCCN(CC(=O)O)CC(=O)O)CC(=O)O.[Fe+3],20.41
