Triazine_ID,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,n_triazine_rings,mol,PAINS,PAINS_Alert,BRENK,BRENK_Alert,NIH,NIH_Alert,ZINC,ZINC_Alert,Alert_Count,Has_Hydrazine,Has_Acyl_Hydrazide
TRZ00038,Cc1nnc(-c2cnn(-c3ccccc3)c2C(F)(F)F)nc1C,319.29,3.36,56.49,0,4,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0510>,False,,False,,False,,False,,0,False,False
TRZ00039,Cc1nnc(CCn2c3ccccc3c3ccccc32)nc1C,302.38,3.84,43.6,0,3,3,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0580>,False,,False,,False,,False,,0,False,False
TRZ00040,Cc1nnc(-c2cccc(O)c2)nc1C,201.23,1.86,58.9,1,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF05F0>,False,,False,,False,,False,,0,False,False
TRZ00041,Cc1nnc(-c2cc(O)c(O)c(O)c2)nc1C,233.23,1.27,99.36,3,6,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0660>,True,catechol_A(92),True,catechol,False,,False,,2,False,False
TRZ00042,Cc1nnc(-c2cnccn2)nc1C,187.21,0.95,64.45,0,5,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF06D0>,False,,False,,False,,False,,0,False,False
TRZ00043,Cc1nnc(Cn2nc(C)c(Br)c2C)nc1C,296.17,2.11,56.49,0,4,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0740>,False,,False,,False,,False,,0,False,False
TRZ00044,Cc1cc(C)nc(SCc2nnc(C)c(C)n2)n1,261.35,2.19,64.45,0,6,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF07B0>,False,,False,,False,,False,,0,False,False
TRZ00045,COc1ccccc1-c1cc(-c2nnc(C)c(C)n2)[nH]n1,281.32,2.55,76.58,1,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0820>,False,,False,,False,,False,,0,False,False
TRZ00046,Cc1nnc(-c2cn3ccc4ccccc4c3n2)nc1C,275.32,2.96,55.97,0,4,1,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0890>,False,,False,,False,,False,,0,False,False
TRZ00047,Cc1nnc(-c2ccccc2OCc2ccccc2)nc1C,291.35,3.73,47.9,0,4,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0900>,False,,False,,False,,False,,0,False,False
TRZ00048,Cc1nnc(-c2[nH]c3ccc(S(N)(=O)=O)cc3c2-c2ccccc2)nc1C,379.45,2.95,114.62,2,5,3,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0970>,False,,False,,False,,False,,0,False,False
TRZ00049,Cc1nnc(-c2cc(-c3ccc(N)cc3)nc3ccc(Br)cc23)nc1C,406.29,4.72,77.58,1,5,2,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF09E0>,False,,True,aniline,False,,False,,1,False,False
TRZ00050,Cc1nnc(-c2ccc3ccccc3n2)nc1C,236.28,2.7,51.56,0,4,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0A50>,False,,False,,False,,False,,0,False,False
TRZ00051,COC(=O)c1ccc(-c2nnc(C)c(C)n2)cc1,243.27,1.94,64.97,0,5,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0AC0>,False,,False,,False,,False,,0,False,False
TRZ00053,Cc1nnc(-c2cccnc2Oc2ccccc2)nc1C,278.31,3.34,60.79,0,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0B30>,False,,False,,False,,False,,0,False,False
TRZ00054,Cc1nnc(C(=O)Nc2ccc(Cl)c(Cl)c2)nc1C,297.15,3.05,67.77,1,4,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0BA0>,False,,False,,False,,False,,0,False,False
TRZ00055,Cc1nnc(-c2ccc([N+](=O)[O-])o2)nc1C,220.19,1.66,94.95,0,6,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0C10>,False,,True,nitro_group,False,,False,,1,False,False
TRZ00056,Cc1nnc(-c2c[nH]c3ccccc23)nc1C,224.27,2.64,54.46,1,3,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0C80>,False,,False,,False,,False,,0,False,False
TRZ00057,Cc1nnc(-c2cc(Cl)ccn2)nc1C,220.66,2.2,51.56,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0CF0>,False,,False,,False,,False,,0,False,False
TRZ00058,COc1c(Cl)cc(-c2nnc(C)c(C)n2)cc1Cl,284.15,3.47,47.9,0,4,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0D60>,False,,False,,False,,False,,0,False,False
TRZ00059,COc1ccc(/C=C/c2nnc(C)c(C)n2)cc1,241.29,2.67,47.9,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0DD0>,False,,False,,False,,False,,0,False,False
TRZ00060,Cc1nnc(-c2ccc(O)cc2O)nc1C,217.23,1.57,79.13,2,5,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0E40>,False,,False,,False,,False,,0,False,False
TRZ00061,Cc1nnc(C(C)Oc2cccc(Cl)c2)nc1C,263.73,3.28,47.9,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0EB0>,False,,False,,False,,False,,0,False,False
TRZ00062,Cc1cccc(-c2nnc(C)c(C)n2)c1,199.26,2.46,38.67,0,3,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0F20>,False,,False,,False,,False,,0,False,False
TRZ00063,COc1ccccc1OCc1nnc(C)c(C)n1,245.28,2.08,57.13,0,5,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF0F90>,False,,False,,False,,False,,0,False,False
TRZ00065,Cc1nnc(-c2cc3c(s2)CCC(C)C3)nc1C,259.38,3.34,38.67,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1000>,False,,False,,False,,False,,0,False,False
TRZ00066,Cc1nnc(CC2Sc3ccccc3NC2=O)nc1C,286.36,2.14,67.77,1,5,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1070>,False,,False,,False,,False,,0,False,False
TRZ00067,Cc1nnc(-c2cn3ccccc3n2)nc1C,225.25,1.8,55.97,0,4,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF10E0>,False,,False,,False,,False,,0,False,False
TRZ00068,Cc1nnc(-c2ncccn2)nc1C,187.21,0.95,64.45,0,5,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1150>,False,,False,,False,,False,,0,False,False
TRZ00069,Cc1nnc(-c2cccnn2)nc1C,187.21,0.95,64.45,0,5,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF11C0>,False,,False,,False,,False,,0,False,False
TRZ00070,Cc1nnc(-c2ccc(Cl)cc2Cl)nc1C,254.12,3.46,38.67,0,3,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1230>,False,,False,,False,,False,,0,False,False
TRZ00071,Cc1nnc(CSc2nnc(-c3ccccc3)n2-c2ccccc2)nc1C,374.47,4.03,69.38,0,6,5,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF12A0>,False,,False,,False,,False,,0,False,False
TRZ00072,Cc1nnc(-c2nc3ccccc3s2)nc1C,242.31,2.77,51.56,0,5,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1310>,False,,False,,False,,False,,0,False,False
TRZ00073,Cc1nnc(-c2cncc(Br)c2)nc1C,265.11,2.31,51.56,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1380>,False,,False,,False,,False,,0,False,False
TRZ00074,Cc1cc(-c2nnc(C)c(C)n2)n[nH]1,189.22,1.19,67.35,1,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF13F0>,False,,False,,False,,False,,0,False,False
TRZ00075,Cc1nnc(-c2nc(Cl)c(Cl)c(N)c2Cl)nc1C,304.57,3.09,77.58,1,5,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1460>,False,,True,2-halo_pyridine,False,,False,,1,False,False
TRZ00076,Cc1nnc(-c2cc(Cl)ccc2Cl)nc1C,254.12,3.46,38.67,0,3,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF14D0>,False,,False,,False,,False,,0,False,False
TRZ00077,Cc1nnc(-c2ccccc2CO)nc1C,215.26,1.65,58.9,1,4,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1540>,False,,False,,False,,False,,0,False,False
TRZ00078,Cc1nnc(COc2ccc(F)cc2)nc1C,233.25,2.21,47.9,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF15B0>,False,,False,,False,,False,,0,False,False
TRZ00079,Cc1nnc(-c2cc(Br)cs2)nc1C,270.15,2.98,38.67,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1620>,False,,False,,False,,False,,0,False,False
TRZ00080,Cc1nnc(-c2ccc(-c3nnc(C)c(C)n3)cc2)nc1C,292.35,2.62,77.34,0,6,2,3,2,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1690>,False,,False,,False,,False,,0,False,False
TRZ00081,Cc1nnc(-c2cc(-c3ccccc3)nc3ccccc23)nc1C,312.38,4.37,51.56,0,4,2,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1700>,False,,False,,False,,False,,0,False,False
TRZ00082,Cc1nnc(-c2cccc3ccccc23)nc1C,235.29,3.31,38.67,0,3,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1770>,False,,False,,False,,False,,0,False,False
TRZ00083,Cc1nnc(-c2cccs2)nc1C,191.26,2.22,38.67,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF17E0>,False,,False,,False,,False,,0,False,False
TRZ00084,Cc1nnc(-c2cccc(Cl)c2)nc1C,219.67,2.81,38.67,0,3,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1850>,False,,False,,False,,False,,0,False,False
TRZ00085,COc1cc(-c2nnc(C)c(C)n2)cc(OC)c1OC,275.31,2.18,66.36,0,6,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF18C0>,False,,False,,False,,False,,0,False,False
TRZ00086,Cc1nnc(-c2cccc(N)c2)nc1C,200.24,1.74,64.69,1,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1930>,False,,True,aniline,False,,False,,1,False,False
TRZ00087,Cc1nnc(COc2ccccc2)nc1C,215.26,2.07,47.9,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF19A0>,False,,False,,False,,False,,0,False,False
TRZ00088,CCOc1ccc(-c2nnc(C)c(C)n2)cc1,229.28,2.55,47.9,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1A10>,False,,False,,False,,False,,0,False,False
TRZ00089,Cc1nnc(-c2cnc[nH]2)nc1C,175.19,0.88,67.35,1,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1A80>,False,,False,,False,,False,,0,False,False
TRZ00090,Cc1nnc(CCc2c[nH]c3ccccc23)nc1C,252.32,2.75,54.46,1,3,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1AF0>,False,,False,,False,,False,,0,False,False
TRZ00091,Cc1nnc(-c2ccccn2)nc1C,186.22,1.55,51.56,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1B60>,False,,False,,False,,False,,0,False,False
TRZ00092,Cc1nnc(COc2ccc(Cl)cc2Cl)nc1C,284.15,3.37,47.9,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1BD0>,False,,False,,False,,False,,0,False,False
TRZ00093,COc1cc(OC)cc(-c2nnc(C)c(C)n2)c1,245.28,2.17,57.13,0,5,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1C40>,False,,False,,False,,False,,0,False,False
TRZ00094,Cc1nnc(Cc2ccc(Cl)cc2)nc1C,233.7,2.73,38.67,0,3,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1CB0>,False,,False,,False,,False,,0,False,False
TRZ00095,COc1cc(-c2nnc(C)c(C)n2)ccc1O,231.26,1.87,68.13,1,5,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1D20>,False,,False,,False,,False,,0,False,False
TRZ00096,Cc1nnc(-c2ccsc2)nc1C,191.26,2.22,38.67,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1D90>,False,,False,,False,,False,,0,False,False
TRZ00097,Cc1nnc(Cc2ccsc2)nc1C,205.29,2.14,38.67,0,4,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1E00>,False,,False,,False,,False,,0,False,False
TRZ00098,Cc1nnc(-c2cncn2C)nc1C,189.22,0.89,56.49,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1E70>,False,,False,,False,,False,,0,False,False
TRZ00099,Cc1nnc(COc2ccc(Cl)cc2)nc1C,249.7,2.72,47.9,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1EE0>,False,,False,,False,,False,,0,False,False
TRZ00100,Cc1nnc([C@@H](N)Cc2ccc(O)cc2)nc1C,244.3,1.44,84.92,2,5,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1F50>,False,,False,,False,,False,,0,False,False
TRZ00101,Cc1nnc(-c2ccc(C(C)(C)C)cc2)nc1C,241.34,3.45,38.67,0,3,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF1FC0>,False,,False,,False,,False,,0,False,False
TRZ00102,Cc1nnc(-c2ccccc2S(N)(=O)=O)nc1C,264.31,0.8,98.83,1,5,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF2030>,False,,False,,False,,False,,0,False,False
TRZ00103,COc1ccc(-n2[nH]c(-c3nnc(C)c(C)n3)c3ccc4nncc4c32)cc1,371.4,3.38,94.4,1,6,3,5,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF20A0>,False,,False,,False,,False,,0,False,False
TRZ00105,Cc1nnc(-c2ccc(-c3ccccc3Cl)o2)nc1C,285.73,4.07,51.81,0,4,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF2110>,False,,False,,False,,False,,0,False,False
TRZ00106,Cc1nnc(COc2ccc3c(C)cc(=O)oc3c2)nc1C,297.31,2.48,78.11,0,6,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF2180>,False,,True,cumarine,False,,False,,1,False,False
TRZ00107,Cc1nnc(COc2ccc3c(C)c(C)c(=O)oc3c2)nc1C,311.34,2.79,78.11,0,6,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF21F0>,False,,True,cumarine,False,,False,,1,False,False
TRZ00108,Cc1nnc(-c2nc[nH]c2C(=O)Nc2ccccn2)nc1C,295.31,1.53,109.34,2,6,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF2260>,False,,False,,False,,False,,0,False,False
TRZ00109,CCn1cc(-c2nnc(C)c(C)n2)c(=O)c2cc(F)c(N3CCOCC3)cc21,383.43,2.47,73.14,0,6,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF22D0>,False,,False,,False,,False,,0,False,False
TRZ00110,CCn1cc(-c2nnc(C)c(C)n2)c(=O)c2cc(F)c(N3CCCCC3)cc21,381.46,3.62,63.91,0,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF2340>,False,,False,,False,,False,,0,False,False
TRZ00111,Cc1cc(C)cc(OCc2ccc(-c3nnc(C)c(C)n3)o2)c1,309.37,3.94,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF23B0>,False,,False,,False,,False,,0,False,False
TRZ00112,Cc1nnc(-c2ccc(COc3ccc4ccccc4c3)o2)nc1C,331.38,4.48,61.04,0,5,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF2420>,False,,False,,False,,False,,0,False,False
TRZ00113,COc1ccc(-c2cc(-c3nnc(C)c(C)n3)[nH]n2)cc1OC,311.35,2.56,85.81,1,6,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF2490>,False,,False,,False,,False,,0,False,False
TRZ00114,Cc1ccc(NC(=O)c2[nH]cnc2-c2nnc(C)c(C)n2)cc1,308.35,2.44,96.45,2,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF2500>,False,,False,,False,,False,,0,False,False
TRZ00115,Cc1nnc(-c2sc(-c3ccccc3)c(C#N)c2C)nc1C,306.39,4.06,62.46,0,5,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF2570>,False,,False,,False,,False,,0,False,False
TRZ00116,COc1ccccc1OCc1ccc(-c2nnc(C)c(C)n2)o1,311.34,3.34,70.27,0,6,5,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF25E0>,False,,False,,False,,False,,0,False,False
TRZ00117,Cc1nnc(-c2ccc(COc3ccc([N+](=O)[O-])cc3)o2)nc1C,326.31,3.24,104.18,0,7,5,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF2650>,False,,True,nitro_group,False,,False,,1,False,False
TRZ00118,Cc1nnc(-c2cccc(Cn3cc(Br)c([N+](=O)[O-])n3)c2)nc1C,389.21,3.07,99.63,0,6,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF26C0>,False,,True,nitro_group,False,,False,,1,False,False
TRZ00119,Cc1nnc(-c2ccc(COCC(F)(F)C(F)F)cc2)nc1C,329.3,3.57,47.9,0,4,6,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF2730>,False,,True,Perfluorinated_chain,False,,False,,1,False,False
TRZ00120,Cc1cc(C)n(Cc2ccc(-c3nnc(C)c(C)n3)o2)n1,283.34,2.61,69.63,0,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF27A0>,False,,False,,False,,False,,0,False,False
TRZ00121,Cc1nnc(-c2ccc(Cn3nc(C)c(Cl)c3C)o2)nc1C,317.78,3.26,69.63,0,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF2810>,False,,False,,False,,False,,0,False,False
TRZ00122,COc1cccc2[nH]c(-c3nnc(C)c(C)n3)c(N)c12,269.31,2.23,89.71,2,5,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002BD2AEF2880>,False,,False,,False,,False,,0,False,False
