Triazine_ID,SMILES,Source_Hydrazide_SMILES
TRZ05913,Cc1nnc(-c2ccc(Cl)nc2C(=O)c2ccccc2C(F)(F)F)nc1C,C1=CC=C(C(=C1)C(=O)C2=C(C=CC(=N2)Cl)C(=O)NN)C(F)(F)F
TRZ05914,Cc1nnc(-c2c(Cl)ncc(C(F)(F)F)c2C(=O)c2ccccc2F)nc1C,C1=CC=C(C(=C1)C(=O)C2=C(C(=NC=C2C(F)(F)F)Cl)C(=O)NN)F
TRZ05915,CCCCc1ccc(F)c(-c2nnc(C)c(C)n2)c1F,CCCCC1=C(C(=C(C=C1)F)C(=O)NN)F
TRZ05916,Cc1nnc(-c2ccc(C(F)(F)F)nc2C(=O)c2ccccc2F)nc1C,C1=CC=C(C(=C1)C(=O)C2=C(C=CC(=N2)C(F)(F)F)C(=O)NN)F
TRZ05917,Cc1nnc(-c2ccc(C(F)(F)F)nc2C(=O)c2c(F)cccc2F)nc1C,C1=CC(=C(C(=C1)F)C(=O)C2=C(C=CC(=N2)C(F)(F)F)C(=O)NN)F
TRZ05918,Cc1nnc(C(=Cc2ccccc2F)O/N=C\C(CC(C)(C)C)n2cncn2)nc1C,CC(C)(C)CC(/C=N\OC(=CC1=CC=CC=C1F)C(=O)NN)N2C=NC=N2
TRZ05919,Cc1nnc(C(=Cc2cccc(F)c2)O/N=C\C(CC(C)(C)C)n2cncn2)nc1C,CC(C)(C)CC(/C=N\OC(=CC1=CC(=CC=C1)F)C(=O)NN)N2C=NC=N2
TRZ05920,Cc1nnc(-c2ccc(Cl)nc2C(=O)c2ccccc2F)nc1C,C1=CC=C(C(=C1)C(=O)C2=C(C=CC(=N2)Cl)C(=O)NN)F
TRZ05921,Cc1nnc(-c2ccc(Cl)nc2C(=O)c2c(F)cccc2F)nc1C,C1=CC(=C(C(=C1)F)C(=O)C2=C(C=CC(=N2)Cl)C(=O)NN)F
TRZ05922,Cc1nnc(-c2c(C(=O)c3ccccc3C(F)(F)F)ccnc2Cl)nc1C,C1=CC=C(C(=C1)C(=O)C2=C(C(=NC=C2)Cl)C(=O)NN)C(F)(F)F
TRZ05923,Cc1nnc(-c2c(Cl)ncc(C(F)(F)F)c2C(=O)c2c(F)cccc2F)nc1C,C1=CC(=C(C(=C1)F)C(=O)C2=C(C(=NC=C2C(F)(F)F)Cl)C(=O)NN)F
