Triazine_ID,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,n_triazine_rings,mol,Has_Hydrazine,Has_Acyl_Hydrazide
TRZ01123,Cc1nnc(-c2ccc3c(c2)OCCO3)nc1C,243.27,1.93,57.13,0,5,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745CC10>,False,False
TRZ01124,Cc1nnc(CCCNc2ncc(C(F)(F)F)cc2Cl)nc1C,345.76,3.6,63.59,1,5,5,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745CC80>,False,False
TRZ01125,Cc1cc(C)nc(-c2nnc(C)c(C)n2)n1,215.26,1.56,64.45,0,5,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745CCF0>,False,False
TRZ01126,Cc1nnc(-c2cc3c([nH]c4ccccc43)c(C)n2)nc1C,289.34,3.49,67.35,1,4,1,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745CD60>,False,False
TRZ01127,Cc1nnc([C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)nc1C,328.42,3.3,77.0,1,5,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745CDD0>,False,False
TRZ01128,Cc1nnc(-c2sc3ncccc3c2N)nc1C,257.32,2.35,77.58,1,6,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745CE40>,False,False
TRZ01130,COc1ccc2c(c1)c(Cc1nnc(C)c(C)n1)c(C)n2Cc1ccccn1,373.46,3.79,65.72,0,5,5,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745CEB0>,False,False
TRZ01131,COc1ccc2c(c1)c(Cc1nnc(C)c(C)n1)c(S(C)=O)n2Cc1ccccc1,420.54,3.83,69.9,0,5,6,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745CF20>,False,False
TRZ01132,Cc1nnc(Cc2cc3ccccc3[nH]2)nc1C,238.29,2.56,54.46,1,3,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745CF90>,False,False
TRZ01133,Cc1nnc(CN(C)c2nc3scc(-c4ccccc4)c3c(=O)n2-c2ccccc2)nc1C,454.56,4.55,76.8,0,7,5,5,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D000>,False,False
TRZ01134,Cc1nnc(CSc2nc3ccccc3c(=O)n2-c2ccccc2)nc1C,375.46,3.48,73.56,0,6,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D070>,False,False
TRZ01135,Cc1nn[14c](-c2ccncc2)nc1C,188.21,1.55,51.56,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D0E0>,False,False
TRZ01136,Cc1nnc(-c2nc(Cl)c(N)nc2N)nc1C,251.68,0.76,116.49,2,7,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D150>,False,False
TRZ01137,Cc1nnc(-c2ccc(NCc3ccc(F)cc3)cn2)nc1C,309.35,3.3,63.59,1,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D1C0>,False,False
TRZ01138,Cc1nnc(-c2ccnc(-c3nnc(C)c(C)n3)c2)nc1C,293.33,2.02,90.23,0,7,2,3,2,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D230>,False,False
TRZ01139,CCn1c(=O)c(-c2nnc(C)c(C)n2)c(N)c2cccnc21,296.33,1.47,99.58,1,6,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D2A0>,False,False
TRZ01140,Cc1nnc(-c2cnc3n(c2=O)C(C)CC/C3=N\Nc2ccccc2)nc1C,375.44,2.88,97.95,1,7,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D310>,False,False
TRZ01141,Cc1nnc(-c2cc(C(O)CNC(C)(C)C)ccc2O)nc1C,316.41,2.28,91.16,3,6,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D380>,False,False
TRZ01142,Cc1nnc(/C=C/c2ccc3c(c2)OCO3)nc1C,255.28,2.39,57.13,0,5,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D3F0>,False,False
TRZ01143,Cc1nnc(C2(C)C(=O)Nc3cc4nc(-c5ccncc5)[nH]c4cc32)nc1C,371.4,2.68,109.34,2,6,2,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D460>,False,False
TRZ01144,Cc1nnc(-c2cccc(O)c2O)nc1C,217.23,1.57,79.13,2,5,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D4D0>,False,False
TRZ01145,Cc1nc2ccc(-c3nnc(C)c(C)n3)cc2[nH]1,239.28,2.34,67.35,1,4,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D540>,False,False
TRZ01146,Cc1ccccc1SCc1nnc(C)c(C)n1,245.35,3.09,38.67,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D5B0>,False,False
TRZ01147,CC(=O)NC[C@H]1CN(c2ccc(-c3ccc(-c4nnc(C)c(C)n4)cc3)c(F)c2)C(=O)O1,435.46,3.42,97.31,1,6,5,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D620>,False,False
TRZ01148,Cc1nnc(-c2cc(-c3ccccc3)nn2Cc2ccccc2)nc1C,341.42,4.07,56.49,0,4,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D690>,False,False
TRZ01149,Cc1nnc(CSc2ccccc2Cl)nc1C,265.77,3.43,38.67,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D700>,False,False
TRZ01150,Cc1nnc(-c2cc(-c3ccc(Cl)cc3)nn2Cc2ccccc2)nc1C,375.86,4.72,56.49,0,4,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D770>,False,False
TRZ01151,COc1ccc(-c2cc(-c3nnc(C)c(C)n3)n(Cc3ccccc3)n2)cc1,371.44,4.08,65.72,0,5,5,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D7E0>,False,False
TRZ01152,Cc1nnc(/C=C/c2ccc(F)cc2)nc1C,229.26,2.8,38.67,0,3,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D850>,False,False
TRZ01153,Cc1nnc(-c2c(N)sc3c2CCCCC3)nc1C,274.39,3.07,64.69,1,5,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D8C0>,False,False
TRZ01154,CCCn1cc(-c2cc(-c3nnc(C)c(C)n3)[nH]n2)c2ccccc21,332.41,3.91,72.28,1,4,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D930>,False,False
TRZ01157,CCn1cc(-c2nnc(C)c(C)n2)c(=O)c2ccccc21,280.33,2.49,60.67,0,4,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745D9A0>,False,False
TRZ01158,Cc1nnc(C(=O)Nc2cccccc2=O)nc1C,256.26,1.1,84.84,1,5,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745DA10>,False,False
TRZ01159,Cc1nnc(CC(=O)NCc2ccco2)nc1C,246.27,0.94,80.91,1,5,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745DA80>,False,False
TRZ01161,Cc1nnc(-c2nc3ccccc3c(=O)[nH]2)nc1C,253.27,1.39,84.42,1,5,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745DAF0>,False,False
TRZ01162,CC1=C(c2nnc(C)c(C)n2)C(c2ccc(F)cc2Cl)N=C(c2nccs2)N1,414.9,4.26,75.95,1,7,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745DB60>,False,False
TRZ01163,Cc1nnc(-c2cn(C)c3c(cc([N+](=O)[O-])c4cccnc43)c2=O)nc1C,362.35,2.46,116.7,0,7,2,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745DBD0>,False,False
TRZ01164,Cc1nnc([C@H]2Cc3c([nH]c4ccccc34)[C@H](C)N2)nc1C,293.37,2.92,66.49,2,4,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745DC40>,False,False
TRZ01165,Cc1nnc(-c2ccccc2Nc2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2F)nc1C,485.57,4.32,94.99,2,9,6,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745DCB0>,False,False
TRZ01166,Cc1nnc(-c2cccc(Nc3nc(Nc4ccc(N5CCOCC5)cc4)ncc3F)c2)nc1C,472.53,4.41,100.98,2,9,6,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745DD20>,False,False
TRZ01167,CCN1CCN(c2ccc(Nc3ncc(F)c(Nc4ccc(-c5nnc(C)c(C)n5)cc4)n3)cc2)CC1,499.6,4.71,94.99,2,9,7,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745DD90>,False,False
TRZ01168,Cc1nnc(-c2ccccc2Nc2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)nc1C,472.53,4.41,100.98,2,9,6,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745DE00>,False,False
TRZ01171,Cc1nnc(-c2cccc(Nc3nc(Nc4ccc(N5CCN(C)CC5)cc4)ncc3F)c2)nc1C,485.57,4.32,94.99,2,9,6,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745DE70>,False,False
TRZ01172,Cc1nnc(-c2ccc(Nc3nc(Nc4ccc(N5CCOCC5)cc4)ncc3F)cc2)nc1C,472.53,4.41,100.98,2,9,6,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745DEE0>,False,False
TRZ01173,CCN1CCN(c2ccc(Nc3ncc(F)c(Nc4cccc(-c5nnc(C)c(C)n5)c4)n3)cc2)CC1,499.6,4.71,94.99,2,9,7,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745DF50>,False,False
TRZ01175,CCN1CCN(c2ccc(Nc3ncc(F)c(Nc4ccccc4-c4nnc(C)c(C)n4)n3)cc2)CC1,499.6,4.71,94.99,2,9,7,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745DFC0>,False,False
TRZ01176,Cc1nnc(-c2ccc(Nc3nc(Nc4ccc(N5CCN(C)CC5)cc4)ncc3F)cc2)nc1C,485.57,4.32,94.99,2,9,6,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E030>,False,False
TRZ01183,Cc1nnc(-c2cnc(NCc3ccccc3)nc2)nc1C,292.35,2.56,76.48,1,6,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E0A0>,False,False
TRZ01184,COc1ccc2c(ccn2S(=O)(=O)c2ccc(-c3nnc(C)c(C)n3)cc2)c1,394.46,3.36,86.97,0,6,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E110>,False,False
TRZ01187,Cc1nnc(-c2ccc(S(=O)(=O)n3ccc4cc(OCc5ccccc5)ccc43)cc2)nc1C,470.55,4.93,86.97,0,6,6,5,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E180>,False,False
TRZ01188,Cc1nnc(CCOc2ccc(-c3nnc(C)c(C)n3)cc2)nc1C,336.4,2.58,86.57,0,7,5,3,2,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E1F0>,False,False
TRZ01189,Cc1nnc(Cn2cc(F)c(=O)[nH]c2=O)nc1C,251.22,-0.47,93.53,1,5,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E260>,False,False
TRZ01190,Cc1nnc(CN2CC(c3ccccc3)CC2=O)nc1C,282.35,2.0,58.98,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E2D0>,False,False
TRZ01191,Cc1nnc(-c2ccccc2C(=O)c2c(C)c(C)c(C)c(C)c2C)nc1C,359.47,4.93,55.74,0,4,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E340>,False,False
TRZ01192,Cc1ccc2c(c1)C1(OCCCO1)C(=O)N2Cc1nnc(C)c(C)n1,340.38,1.93,77.44,0,6,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E3B0>,False,False
TRZ01193,Cc1nnc(C(=O)/C=C2\NC3(CCCC3)Cc3ccccc32)nc1C,334.42,3.17,67.77,1,5,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E420>,False,False
TRZ01194,Cc1nnc(-c2cccc(-c3nnc(C)c(C)n3)n2)nc1C,293.33,2.02,90.23,0,7,2,3,2,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E490>,False,False
TRZ01195,CCN(CC)S(=O)(=O)c1cccc(-c2nnc(C)c(C)n2)c1,320.42,2.19,76.05,0,5,5,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E500>,False,False
TRZ01196,Cc1nnc(-c2cc(-n3c(C)ccc3C)ccc2Cl)nc1C,312.8,4.22,43.6,0,3,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E570>,False,False
TRZ01197,Cc1nnc(-c2ccc(-n3c(C)ccc3C)cc2Cl)nc1C,312.8,4.22,43.6,0,3,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E5E0>,False,False
TRZ01198,Cc1nnc(-c2nnn(Cc3ccccc3)c2N)nc1C,281.32,1.38,95.4,1,6,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E650>,False,False
TRZ01199,Cc1nnc(-c2cc3c(cn2)[nH]c2ccccc23)nc1C,275.32,3.18,67.35,1,4,1,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E6C0>,False,False
TRZ01200,CCC(c1ccccc1)c1nnc(C)c(C)n1,227.31,3.03,38.67,0,3,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E730>,False,False
TRZ01201,Cc1nnc(-c2ccc(NS(=O)(=O)c3ccccc3)cc2)nc1C,340.41,2.96,84.84,1,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E7A0>,False,False
TRZ01202,Cc1nnc(CNC(=O)CNC(=O)OCc2ccccc2)nc1C,329.36,1.03,106.1,2,6,6,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E810>,False,False
TRZ01203,Cc1nnc(-c2cccnc2N)nc1C,201.23,1.13,77.58,1,5,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E880>,False,False
TRZ01204,COc1ccccc1NCc1nnc(C)c(C)n1,244.3,2.11,59.93,1,5,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E8F0>,False,False
TRZ01205,Cc1nnc(CNC(c2ccccc2)(c2ccccc2)c2ccccc2)nc1C,380.5,4.57,50.7,1,4,6,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E960>,False,False
TRZ01206,Cc1cc2ncn(Cc3nnc(C)c(C)n3)c2cc1C,267.34,2.5,56.49,0,4,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745E9D0>,False,False
TRZ01207,Cc1nnc(CCCc2ccccc2)nc1C,227.31,2.66,38.67,0,3,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745EA40>,False,False
TRZ01208,Cc1nnc(-c2nc(N)n[nH]2)nc1C,191.2,-0.14,106.26,2,6,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745EAB0>,False,False
TRZ01209,Cc1nnc(CNc2ccc(Br)cc2)nc1C,293.17,2.86,50.7,1,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745EB20>,False,False
TRZ01211,Cc1nnc(CCc2ccccc2O)nc1C,229.28,1.98,58.9,1,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745EC00>,False,False
TRZ01212,Cc1nnc(-c2ccc3ccccc3c2O)nc1C,251.29,3.01,58.9,1,4,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745EC70>,False,False
TRZ01213,Cc1nnc(-c2nn(-c3ccccc3)c(=O)c(C#N)c2C)nc1C,318.34,1.88,97.35,0,6,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745ECE0>,False,False
TRZ01214,Cc1ccc(S(=O)(=O)NCc2nnc(C)c(C)n2)cc1,292.36,1.28,84.84,1,5,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745ED50>,False,False
TRZ01215,Cc1nnc(C(NC(=O)c2ccccc2)c2n[nH]c(=O)c3ccccc23)nc1C,386.42,2.24,113.52,2,6,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745EDC0>,False,False
TRZ01216,Cc1nnc(-c2ccc(NC(=O)c3ccccc3)cc2)nc1C,304.35,3.41,67.77,1,4,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745EE30>,False,False
TRZ01217,Cc1nnc(COc2ccc(Br)cc2)nc1C,294.15,2.83,47.9,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745EEA0>,False,False
TRZ01218,Cc1nnc(-c2ccc(COc3cc(Cl)ccc3Cl)o2)nc1C,350.21,4.63,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745EF10>,False,False
TRZ01219,Cc1nnc(-c2ccc(OCc3ccc(Cl)cc3)cc2)nc1C,325.8,4.39,47.9,0,4,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745EF80>,False,False
TRZ01220,Cc1nnc(-c2cc(-c3c[nH]c4ccccc34)n[nH]2)nc1C,290.33,3.03,83.14,2,4,2,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745EFF0>,False,False
TRZ01221,CCn1cc(-c2nnc(C)c(C)n2)c(=O)c2cc(Br)ccc21,359.23,3.25,60.67,0,4,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F060>,False,False
TRZ01222,Cc1nnc(/C(=C/c2ccccc2)NC(=O)c2ccccc2)nc1C,330.39,3.42,67.77,1,4,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F0D0>,False,False
TRZ01223,Cc1ccc(SCc2nnc(C)c(C)n2)cc1,245.35,3.09,38.67,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F140>,False,False
TRZ01224,Cc1nnc(-c2cc(C)n(C)n2)nc1C,203.25,1.2,56.49,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F1B0>,False,False
TRZ01225,Cc1nnc(C(C)Oc2ccc3ccccc3c2)nc1C,279.34,3.78,47.9,0,4,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F220>,False,False
TRZ01226,Cc1cc(Cc2nnc(C)c(C)n2)n[nH]1,203.25,1.11,67.35,1,4,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F290>,False,False
TRZ01227,Cc1nnc(-c2cc(-c3cc(F)c(F)cc3F)n[nH]2)nc1C,305.26,2.96,67.35,1,4,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F300>,False,False
TRZ01228,Cc1nnc(-c2cc(-c3ccc(Cl)c(Cl)c3Cl)n[nH]2)nc1C,354.63,4.51,67.35,1,4,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F370>,False,False
TRZ01229,Cc1nnc(-c2cccc(-c3n[nH]c([C@H]4CCCCN4C(=O)COc4ccccc4)n3)c2)nc1C,469.55,4.07,109.78,1,7,6,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F3E0>,False,False
TRZ01230,Cc1nnc(-c2ccc3[nH]nc(-c4ccc(F)cc4)c3c2)nc1C,319.34,3.84,67.35,1,4,2,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F450>,False,False
TRZ01233,Cc1nnc(-c2ccccc2NC(=O)/C(=C/c2ccccc2O)NC(=O)c2ccccc2)nc1C,465.51,4.27,117.1,3,6,6,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F4C0>,False,False
TRZ01234,COc1cc2[nH]c(-c3nnc(C)c(C)n3)c(N)c2cc1OC,299.33,2.24,98.94,2,6,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F530>,False,False
TRZ01235,Cc1nnc(C(C)(C)c2ccccc2)nc1C,227.31,2.81,38.67,0,3,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F5A0>,False,False
TRZ01236,Cc1nnc(-c2ncc(C(F)(F)F)cc2Cl)nc1C,288.66,3.22,51.56,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F610>,False,False
TRZ01238,Cc1cc(-c2nnc(C)c(C)n2)ccc1N1C(=O)CSC1c1ccc(F)cc1,394.48,4.38,58.98,0,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F680>,False,False
TRZ01239,COc1ccc(NC(=O)Cc2nnc(C)c(C)n2)cc1,272.31,1.68,77.0,1,5,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F6F0>,False,False
TRZ01240,Cc1nnc(-c2cc(=O)[nH][nH]2)nc1C,191.19,0.17,87.32,2,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F760>,False,False
TRZ01241,Cc1nnc(CNC(=O)Cc2ccccc2)nc1C,256.31,1.35,67.77,1,4,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F7D0>,False,False
TRZ01242,Cc1nnc(CC(=O)Nc2ccccc2F)nc1C,260.27,1.81,67.77,1,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F840>,False,False
TRZ01243,COC(c1ccccc1)c1nnc(C)c(C)n1,229.28,2.22,47.9,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F8B0>,False,False
TRZ01244,COc1ccccc1NC(=O)Cc1nnc(C)c(C)n1,272.31,1.68,77.0,1,5,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F920>,False,False
TRZ01245,CC(=O)NC[C@H]1CN(c2ccc(-c3nnc(C)c(C)n3)c(F)c2)C(=O)O1,359.36,1.76,97.31,1,6,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745F990>,False,False
TRZ01246,CC(=S)NC[C@H]1CN(c2ccc(-c3nnc(C)c(C)n3)c(F)c2)C(=O)O1,375.43,2.56,80.24,1,6,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745FA00>,False,False
TRZ01247,Cc1nnc(/C=C/c2ccccc2Cl)nc1C,245.71,3.31,38.67,0,3,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745FA70>,False,False
TRZ01248,Cc1nnc(/C=C/c2ccc(C#N)cc2)nc1C,236.28,2.53,62.46,0,4,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745FAE0>,False,False
TRZ01249,COc1ccccc1/C=C/c1nnc(C)c(C)n1,241.29,2.67,47.9,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745FB50>,False,False
TRZ01250,Cc1ccc(/C=C/c2nnc(C)c(C)n2)cc1,225.29,2.97,38.67,0,3,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745FBC0>,False,False
TRZ01251,Cc1nnc(-c2ccc(COc3ccc(F)cc3)o2)nc1C,299.31,3.47,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745FC30>,False,False
TRZ01252,CC(=O)N1CCN(c2ccc(CCc3ccc(Cc4nnc(C)c(C)n4)cc3)nc2)CC1,430.56,2.93,75.11,0,6,6,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745FCA0>,False,False
TRZ01253,Cc1nnc(Cc2ccc(CCc3cccc(N4CCNCC4)n3)cc2)nc1C,388.52,2.67,66.83,1,6,6,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745FD10>,False,False
TRZ01254,Cc1nnc(Cc2ccc(CCc3ccc(CN4CCOCC4)cc3)cc2)nc1C,402.54,3.7,51.14,0,5,7,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745FD80>,False,False
TRZ01255,Cc1nnc(Cc2ccc(CCc3ccc(N4CCNCC4)s3)cc2)nc1C,393.56,3.34,53.94,1,6,6,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745FDF0>,False,False
TRZ01256,CCN(CCN)c1ccc(CCc2ccc(Cc3nnc(C)c(C)n3)cc2)cc1,389.55,3.65,67.93,1,5,9,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745FE60>,False,False
TRZ01257,CCCN(C)c1ccc(CCc2ccc(Cc3nnc(C)c(C)n3)cc2)cn1,375.52,4.11,54.8,0,5,8,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745FED0>,False,False
TRZ01258,Cc1nnc(Cc2ccc(CCc3ccc(N4CCOCC4)nc3)cc2)nc1C,389.5,3.1,64.03,0,6,6,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB2745FF40>,False,False
TRZ01259,Cc1nnc(Cc2ccc(CCc3csc(C4CCNCC4)n3)cc2)nc1C,393.56,3.79,63.59,1,6,6,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27460040>,False,False
TRZ01260,CCN(CC)c1ccc(CCc2ccc(Cc3nnc(C)c(C)n3)cc2)cc1,374.53,4.71,41.91,0,4,8,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB274600B0>,False,False
TRZ01261,Cc1nnc(Cc2ccc(CCc3ccc(N4CCCC4)nc3)cc2)nc1C,373.5,3.86,54.8,0,5,6,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27460120>,False,False
TRZ01262,Cc1nnc(Cc2ccc(CCc3ccc(N4CCCCC4)nc3)cc2)nc1C,387.53,4.25,54.8,0,5,6,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27460190>,False,False
TRZ01263,CC(=O)N1CCN(c2ccc(CCc3ccc(Cc4nnc(C)c(C)n4)cc3)cn2)CC1,430.56,2.93,75.11,0,6,6,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27460200>,False,False
TRZ01264,Cc1nnc(Cc2ccc(CCc3cncc(N4CCNCC4)c3)cc2)nc1C,388.52,2.67,66.83,1,6,6,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27460270>,False,False
TRZ01265,CC(=O)N1CCN(c2ccc(CCc3csc(CCc4nnc(C)c(C)n4)c3)nc2)CC1,450.61,3.18,75.11,0,7,7,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB274602E0>,False,False
TRZ01266,Cc1nnc(Cc2ccc(CCc3csc(N4CCNCC4)n3)cc2)nc1C,394.55,2.73,66.83,1,7,6,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27460350>,False,False
TRZ01267,Cc1nnc(Cc2ccc(CCc3ccnc(N4CCNCC4)c3)cc2)nc1C,388.52,2.67,66.83,1,6,6,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB274603C0>,False,False
TRZ01268,CC(=O)N1CCN(c2cnc(CCc3ccc(Cc4nnc(C)c(C)n4)cc3)cn2)CC1,431.54,2.32,88.0,0,7,6,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27460430>,False,False
TRZ01269,CC(=O)N1CCN(c2ccc(CCc3ccc(-c4nnc(C)c(C)n4)s3)nc2)CC1,422.56,3.07,75.11,0,7,5,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB274604A0>,False,False
