Tz-Ph,Tz-2OH,Tz-4Cl,Tz-tBu,Tz-4NO2,Tz-4OH,Tz-2Cl,Tz-4Py,Tz-2Py,Bis-Tz,Tris-Tz,Thio-Tz
1.0,0.5483870967741935,0.6428571428571429,0.6,0.5454545454545454,0.6428571428571429,0.5483870967741935,0.6666666666666666,0.5483870967741935,0.5714285714285714,0.64,0.4411764705882353
0.5483870967741935,1.0,0.42857142857142855,0.40540540540540543,0.375,0.5151515151515151,0.625,0.4411764705882353,0.4857142857142857,0.5,0.45161290322580644,0.39473684210526316
0.6428571428571429,0.42857142857142855,1.0,0.6129032258064516,0.5588235294117647,0.6551724137931034,0.5151515151515151,0.6206896551724138,0.42857142857142855,0.4838709677419355,0.5925925925925926,0.5
0.6,0.40540540540540543,0.6129032258064516,1.0,0.5277777777777778,0.6129032258064516,0.40540540540540543,0.5806451612903226,0.40540540540540543,0.45454545454545453,0.5517241379310345,0.39473684210526316
0.5454545454545454,0.375,0.5588235294117647,0.5277777777777778,1.0,0.5588235294117647,0.375,0.5294117647058824,0.375,0.4166666666666667,0.5,0.36585365853658536
0.6428571428571429,0.5151515151515151,0.6551724137931034,0.6129032258064516,0.5588235294117647,1.0,0.42857142857142855,0.6206896551724138,0.42857142857142855,0.4838709677419355,0.5925925925925926,0.4166666666666667
0.5483870967741935,0.625,0.5151515151515151,0.40540540540540543,0.375,0.42857142857142855,1.0,0.4411764705882353,0.4857142857142857,0.5,0.45161290322580644,0.4722222222222222
0.6666666666666666,0.4411764705882353,0.6206896551724138,0.5806451612903226,0.5294117647058824,0.6206896551724138,0.4411764705882353,1.0,0.48484848484848486,0.5,0.6153846153846154,0.42857142857142855
0.5483870967741935,0.4857142857142857,0.42857142857142855,0.40540540540540543,0.375,0.42857142857142855,0.4857142857142857,0.48484848484848486,1.0,0.6551724137931034,0.45161290322580644,0.39473684210526316
0.5714285714285714,0.5,0.4838709677419355,0.45454545454545453,0.4166666666666667,0.4838709677419355,0.5,0.5,0.6551724137931034,1.0,0.5185185185185185,0.4411764705882353
0.64,0.45161290322580644,0.5925925925925926,0.5517241379310345,0.5,0.5925925925925926,0.45161290322580644,0.6153846153846154,0.45161290322580644,0.5185185185185185,1.0,0.4375
0.4411764705882353,0.39473684210526316,0.5,0.39473684210526316,0.36585365853658536,0.4166666666666667,0.4722222222222222,0.42857142857142855,0.39473684210526316,0.4411764705882353,0.4375,1.0
