epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,49,,0.9785835146903992,,
0,99,,0.3497275710105896,,
0,149,,0.3612479567527771,,
0,199,,0.3479783535003662,,
0,244,,,0.33455148339271545,0.33455148339271545
0,244,0.4476613998413086,,,
1,249,,0.4060034453868866,,
1,299,,0.1980610489845276,,
1,349,,0.27602553367614746,,
1,399,,0.3302951455116272,,
1,449,,0.27505213022232056,,
1,489,,,0.25597161054611206,0.25597161054611206
1,489,0.2768215835094452,,,
2,499,,0.20043373107910156,,
2,549,,0.2108728587627411,,
2,599,,0.21742305159568787,,
2,649,,0.17828746140003204,,
2,699,,0.14358612895011902,,
2,734,,,0.24976666271686554,0.24976666271686554
2,734,0.23824866116046906,,,
3,749,,0.16277112066745758,,
3,799,,0.20388004183769226,,
3,849,,0.15196575224399567,,
3,899,,0.18556098639965057,,
3,949,,0.14450159668922424,,
3,979,,,0.21660968661308289,0.21660968661308289
3,979,0.21973776817321777,,,
4,999,,0.16306352615356445,,
4,1049,,0.17807815968990326,,
4,1099,,0.20598961412906647,,
4,1149,,0.3262847065925598,,
4,1199,,0.1538086235523224,,
4,1224,,,0.19683226943016052,0.19683226943016052
4,1224,0.1943942755460739,,,
5,1249,,0.1507779359817505,,
5,1299,,0.13711316883563995,,
5,1349,,0.453054279088974,,
5,1399,,0.3888390064239502,,
5,1449,,0.17301955819129944,,
5,1469,,,0.18531867861747742,0.18531867861747742
5,1469,0.17341123521327972,,,
6,1499,,0.13537631928920746,,
6,1549,,0.1321128010749817,,
6,1599,,0.36773550510406494,,
6,1649,,0.12769222259521484,,
6,1699,,0.10914814472198486,,
6,1714,,,0.18475699424743652,0.18475699424743652
6,1714,0.15508855879306793,,,
7,1749,,0.10022479295730591,,
7,1799,,0.11791159212589264,,
7,1849,,0.1025308221578598,,
7,1899,,0.29208627343177795,,
7,1949,,0.22798073291778564,,
7,1959,,,0.17170026898384094,0.17170026898384094
7,1959,0.1472315937280655,,,
8,1999,,0.10428877919912338,,
8,2049,,0.07319071888923645,,
8,2099,,0.10297724604606628,,
8,2149,,0.14989522099494934,,
8,2199,,0.13243144750595093,,
8,2204,,,0.16859453916549683,0.16859453916549683
8,2204,0.13713647425174713,,,
9,2249,,0.09177695959806442,,
9,2299,,0.11756367981433868,,
9,2349,,0.07285754382610321,,
9,2399,,0.11801664531230927,,
9,2449,,0.07147522270679474,,
9,2449,,,0.1634686291217804,0.1634686291217804
9,2449,0.13644064962863922,,,
10,2499,,0.1981721669435501,,
10,2549,,0.09152891486883163,,
10,2599,,0.12896327674388885,,
10,2649,,0.08224913477897644,,
10,2694,,,0.17440195381641388,0.17440195381641388
10,2694,0.1317508965730667,,,
11,2699,,0.11138305813074112,,
11,2749,,0.10133740305900574,,
11,2799,,0.12238889187574387,,
11,2849,,0.07720358669757843,,
11,2899,,0.06238890439271927,,
11,2939,,,0.1414971649646759,0.1414971649646759
11,2939,0.1255773901939392,,,
12,2949,,0.08854355663061142,,
12,2999,,0.07566950470209122,,
12,3049,,0.08244715631008148,,
12,3099,,0.19268906116485596,,
12,3149,,0.1365806609392166,,
12,3184,,,0.14406818151474,0.14406818151474
12,3184,0.1162276417016983,,,
13,3199,,0.09285373985767365,,
13,3249,,0.078253373503685,,
13,3299,,0.09063407778739929,,
13,3349,,0.14727288484573364,,
13,3399,,0.1130257323384285,,
13,3429,,,0.13496017456054688,0.13496017456054688
13,3429,0.11164438724517822,,,
14,3449,,0.07588007301092148,,
14,3499,,0.1281297653913498,,
14,3549,,0.13443191349506378,,
14,3599,,0.20630477368831635,,
14,3649,,0.052368685603141785,,
14,3674,,,0.14775808155536652,0.14775808155536652
14,3674,0.10433328151702881,,,
15,3699,,0.07839511334896088,,
15,3749,,0.1502753645181656,,
15,3799,,0.08656620979309082,,
15,3849,,0.06114300340414047,,
15,3899,,0.05576840043067932,,
15,3919,,,0.12994343042373657,0.12994343042373657
15,3919,0.1016874834895134,,,
16,3949,,0.05541740357875824,,
16,3999,,0.11448480188846588,,
16,4049,,0.08047816157341003,,
16,4099,,0.10707996785640717,,
16,4149,,0.06237451732158661,,
16,4164,,,0.14918678998947144,0.14918678998947144
16,4164,0.0997045561671257,,,
17,4199,,0.10003314912319183,,
17,4249,,0.09698662906885147,,
