Triazine_ID,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,n_triazine_rings,mol,Has_Hydrazine,Has_Acyl_Hydrazide,has_donor_pos1,has_donor_pos2,has_donor_pos3,Donor_pos,has_pos2_bridged,has_pos3_bridged,has_pos2_notbridged,has_pos3_notbridged,pos2_inring,pos2_notinring,pos3_inring,pos3_notinring,ring_status,total_rings,extra_donors,has_plain_phenyl,tridentate,max_similarity,HOMO_eV,LUMO_eV,Gap_eV,E_ligand_au
TRZ00376,Cc1nnc(-c2ccc(COc3ccc(Br)cc3)o2)nc1C,360.21,4.09,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A542810>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.7021276595744681,-9.4501,-7.814,1.6361000000000008,-62.358930817147
TRZ00432,Cc1nnc(-c2ccc(COc3ccccc3)o2)nc1C,281.31,3.33,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A543ED0>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.7727272727272727,-9.3351,-7.6991,1.636000000000001,-58.777828366029
TRZ01251,Cc1nnc(-c2ccc(COc3ccc(F)cc3)o2)nc1C,299.31,3.47,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1C7CA0>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.7021276595744681,-9.4336,-7.7976,1.6360000000000001,-63.009291266729
TRZ01544,Cc1nnc(-c2ccc(CSc3ccc(C(F)(F)F)cn3)o2)nc1C,366.37,4.45,64.7,0,6,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1CF760>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,3.0,False,True,1.0,-9.4408,-7.8166,1.6241999999999992,-74.0839773546
TRZ02396,Cc1nc(-c2noc(-c3nnc(C)c(C)n3)n2)cs1,274.31,1.97,90.48,0,8,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1E4C80>,,,False,True,False,only_pos2_notbridged,False,False,True,False,True,False,False,False,pos2_inring,3.0,5.0,False,True,1.0,-9.8384,-8.3658,1.4726,-53.46130339577
TRZ00399,Cc1nnc(-c2sc(-c3cccs3)nc2C)nc1C,288.4,3.65,51.56,0,6,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A543140>,,,False,True,True,both_notbridged,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3.0,3.0,False,True,1.0,-9.3541,-8.0322,1.3219000000000012,-52.126730197709
TRZ00628,Cc1nnc(-c2csc(-c3ncc(C(F)(F)F)cc3Cl)n2)nc1C,371.78,4.35,64.45,0,6,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A518BA0>,,,False,True,True,both_notbridged,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3.0,3.0,False,True,1.0,-9.6074,-8.6759,0.9314999999999998,-71.177726480484
TRZ01080,Cc1nnc(-c2csc(COc3cc(Cl)cc(Cl)c3)n2)nc1C,367.26,4.5,60.79,0,6,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1C3A70>,,,False,True,True,both_notbridged,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3.0,3.0,False,True,1.0,-9.4783,-7.8258,1.6525000000000007,-66.332792936146
TRZ01527,Cc1nnc(-c2csc(-c3ccc(C(F)(F)F)cn3)n2)nc1C,337.33,3.69,64.45,0,6,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1CF060>,,,False,True,True,both_notbridged,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3.0,3.0,False,True,0.6470588235294118,-9.5683,-8.5406,1.0277000000000012,-67.12508648102
TRZ02000,Cc1nnc(-c2csc(COc3ccccc3Cl)n2)nc1C,332.82,3.84,60.79,0,6,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1DA500>,,,False,True,True,both_notbridged,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3.0,3.0,False,True,0.64,-9.3748,-7.7197,1.655100000000001,-62.280702038106
TRZ02390,Cc1nnc(-c2sc(COc3ccc(C(C)(C)C)cc3)nc2C)nc1C,368.51,4.8,60.79,0,6,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1E49E0>,,,False,True,True,both_notbridged,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3.0,3.0,False,True,1.0,-9.3351,-7.7255,1.6096000000000004,-74.07347347251
TRZ02392,Cc1nnc(-c2csc(-c3cccs3)n2)nc1C,274.37,3.34,51.56,0,6,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1E4AC0>,,,False,True,True,both_notbridged,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3.0,3.0,False,True,1.0,-9.3218,-7.8526,1.4691999999999998,-48.949532504717
TRZ05498,COc1ccc(-c2cncc(-c3nnc(C)c(C)n3)n2)c(OC(F)(F)F)c1,377.33,3.52,82.91,0,7,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B2291C0>,,,False,True,True,both_notbridged,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3.0,4.0,False,True,1.0,-9.3996,-8.0054,1.3941999999999997,-80.485776074235
TRZ05734,Cc1nnc(-c2cncc(-c3ccc(OC(F)F)[nH]c3=O)n2)nc1C,346.3,1.9,106.54,1,7,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B22E2D0>,,,False,True,True,both_notbridged,False,False,True,True,True,False,True,False,pos2_inring+pos3_inring,3.0,4.0,False,True,1.0,-9.5771,-8.1878,1.3893000000000004,-73.371304003365
