Triazine_ID,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,n_triazine_rings,mol,Donor_pos,has_donor_pos1,has_donor_pos2,has_donor_pos3,has_pos2_bridged,has_pos3_bridged,has_pos2_notbridged,has_pos3_notbridged,pos2_inring,pos2_notinring,pos3_inring,pos3_notinring,ring_status,total_rings,extra_donors,has_plain_phenyl,tridentate,max_similarity,Has_Hydrazine,Has_Acyl_Hydrazide
TRZ00969,Cc1nnc([C@H](Cc2cnc[nH]2)NC(=O)[C@@H](N)CC(C)C)nc1C,331.42,0.98,122.47,3,6,7,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1C11C0>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,2.0,3.0,False,True,0.22077922077922077,,
TRZ01087,Cc1nnc(CSc2ncnc3nc[nH]c23)nc1C,273.33,1.45,93.13,1,7,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1C3D80>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,3.0,4.0,False,True,0.23529411764705882,,
TRZ01202,Cc1nnc(CNC(=O)CNC(=O)OCc2ccccc2)nc1C,329.36,1.03,106.1,2,6,6,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1C6880>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,2.0,3.0,False,True,0.2727272727272727,,
TRZ01204,COc1ccccc1NCc1nnc(C)c(C)n1,244.3,2.11,59.93,1,5,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1C6960>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,2.0,2.0,False,True,0.29310344827586204,,
TRZ01323,CCCC[C@H](NC(=O)c1cccs1)c1nnc(C)c(C)n1,304.42,3.21,67.77,1,5,6,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1C9A10>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,2.0,2.0,False,True,0.29508196721311475,,
TRZ01634,Cc1nnc(C(NC(=O)COc2ccc3ccccc3c2)C(C)C)nc1C,364.45,3.53,77.0,1,5,6,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1D1A80>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,3.0,2.0,False,True,0.4032258064516129,,
TRZ01638,Cc1ccccc1-n1c(C)nc2c(OCc3nnc(C)c(C)n3)cccc2c1=O,387.44,3.38,82.79,0,6,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1D1AF0>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,4.0,3.0,False,True,0.25,,
TRZ01878,Cc1nnc(CNc2c(-c3ccsc3)nc3ccccn23)nc1C,336.42,3.48,68.0,1,6,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1D7450>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,4.0,3.0,False,True,0.26153846153846155,,
TRZ01938,Cc1nnc(CNC(=O)c2ccco2)nc1C,232.24,1.01,80.91,1,5,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1D8AC0>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,2.0,2.0,False,True,0.23809523809523808,,
TRZ01952,COc1ccccc1OC(C)c1nnc(C)c(C)n1,259.31,2.64,57.13,0,5,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1D9070>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,2.0,2.0,False,True,0.2807017543859649,,
