molecule_id,triazine_smiles,metal,cmplx_smiles
TRZ00021,Cc1nnc(-c2sc3cccc(Cl)c3c2Cl)nc1C,Fe2+,Cc1nnc(-c2sc3cccc(Cl)c3c2Cl)nc1C.[Fe+2]
TRZ00021,Cc1nnc(-c2sc3cccc(Cl)c3c2Cl)nc1C,Fe3+,Cc1nnc(-c2sc3cccc(Cl)c3c2Cl)nc1C.[Fe+3]
TRZ00025,Cc1nnc(-c2cc3ccccc3[nH]2)nc1C,Cu2+,Cc1nnc(-c2cc3ccccc3[nH]2)nc1C.[Cu+2]
TRZ00025,Cc1nnc(-c2cc3ccccc3[nH]2)nc1C,Zn2+,Cc1nnc(-c2cc3ccccc3[nH]2)nc1C.[Zn+2]
TRZ00025,Cc1nnc(-c2cc3ccccc3[nH]2)nc1C,Fe2+,Cc1nnc(-c2cc3ccccc3[nH]2)nc1C.[Fe+2]
TRZ00025,Cc1nnc(-c2cc3ccccc3[nH]2)nc1C,Fe3+,Cc1nnc(-c2cc3ccccc3[nH]2)nc1C.[Fe+3]
TRZ00026,Cc1nnc(-c2ccccc2N)nc1C,Cu2+,Cc1nnc(-c2ccccc2N)nc1C.[Cu+2]
TRZ00026,Cc1nnc(-c2ccccc2N)nc1C,Zn2+,Cc1nnc(-c2ccccc2N)nc1C.[Zn+2]
TRZ00026,Cc1nnc(-c2ccccc2N)nc1C,Fe2+,Cc1nnc(-c2ccccc2N)nc1C.[Fe+2]
TRZ00026,Cc1nnc(-c2ccccc2N)nc1C,Fe3+,Cc1nnc(-c2ccccc2N)nc1C.[Fe+3]
TRZ00027,Cc1nnc(-c2ccco2)nc1C,Cu2+,Cc1nnc(-c2ccco2)nc1C.[Cu+2]
TRZ00027,Cc1nnc(-c2ccco2)nc1C,Zn2+,Cc1nnc(-c2ccco2)nc1C.[Zn+2]
TRZ00027,Cc1nnc(-c2ccco2)nc1C,Fe2+,Cc1nnc(-c2ccco2)nc1C.[Fe+2]
TRZ00027,Cc1nnc(-c2ccco2)nc1C,Fe3+,Cc1nnc(-c2ccco2)nc1C.[Fe+3]
TRZ00029,Cc1nnc(C(O)c2ccccc2)nc1C,Cu2+,Cc1nnc(C(O)c2ccccc2)nc1C.[Cu+2]
TRZ00029,Cc1nnc(C(O)c2ccccc2)nc1C,Zn2+,Cc1nnc(C(O)c2ccccc2)nc1C.[Zn+2]
TRZ00029,Cc1nnc(C(O)c2ccccc2)nc1C,Fe2+,Cc1nnc(C(O)c2ccccc2)nc1C.[Fe+2]
TRZ00029,Cc1nnc(C(O)c2ccccc2)nc1C,Fe3+,Cc1nnc(C(O)c2ccccc2)nc1C.[Fe+3]
TRZ00030,Cc1nnc(C(O)(c2ccccc2)c2ccccc2)nc1C,Cu2+,Cc1nnc(C(O)(c2ccccc2)c2ccccc2)nc1C.[Cu+2]
TRZ00030,Cc1nnc(C(O)(c2ccccc2)c2ccccc2)nc1C,Zn2+,Cc1nnc(C(O)(c2ccccc2)c2ccccc2)nc1C.[Zn+2]
TRZ00030,Cc1nnc(C(O)(c2ccccc2)c2ccccc2)nc1C,Fe2+,Cc1nnc(C(O)(c2ccccc2)c2ccccc2)nc1C.[Fe+2]
TRZ00030,Cc1nnc(C(O)(c2ccccc2)c2ccccc2)nc1C,Fe3+,Cc1nnc(C(O)(c2ccccc2)c2ccccc2)nc1C.[Fe+3]
TRZ00032,Cc1nnc(COc2cccc3ccccc23)nc1C,Cu2+,Cc1nnc(COc2cccc3ccccc23)nc1C.[Cu+2]
TRZ00032,Cc1nnc(COc2cccc3ccccc23)nc1C,Zn2+,Cc1nnc(COc2cccc3ccccc23)nc1C.[Zn+2]
TRZ00032,Cc1nnc(COc2cccc3ccccc23)nc1C,Fe2+,Cc1nnc(COc2cccc3ccccc23)nc1C.[Fe+2]
TRZ00032,Cc1nnc(COc2cccc3ccccc23)nc1C,Fe3+,Cc1nnc(COc2cccc3ccccc23)nc1C.[Fe+3]
TRZ00035,Cc1nnc(-c2sc(N)nc2C)nc1C,Cu2+,Cc1nnc(-c2sc(N)nc2C)nc1C.[Cu+2]
TRZ00035,Cc1nnc(-c2sc(N)nc2C)nc1C,Zn2+,Cc1nnc(-c2sc(N)nc2C)nc1C.[Zn+2]
TRZ00035,Cc1nnc(-c2sc(N)nc2C)nc1C,Fe2+,Cc1nnc(-c2sc(N)nc2C)nc1C.[Fe+2]
TRZ00035,Cc1nnc(-c2sc(N)nc2C)nc1C,Fe3+,Cc1nnc(-c2sc(N)nc2C)nc1C.[Fe+3]
TRZ00036,Cc1nnc(Cn2cnc3ccccc32)nc1C,Cu2+,Cc1nnc(Cn2cnc3ccccc32)nc1C.[Cu+2]
TRZ00036,Cc1nnc(Cn2cnc3ccccc32)nc1C,Zn2+,Cc1nnc(Cn2cnc3ccccc32)nc1C.[Zn+2]
TRZ00036,Cc1nnc(Cn2cnc3ccccc32)nc1C,Fe2+,Cc1nnc(Cn2cnc3ccccc32)nc1C.[Fe+2]
TRZ00036,Cc1nnc(Cn2cnc3ccccc32)nc1C,Fe3+,Cc1nnc(Cn2cnc3ccccc32)nc1C.[Fe+3]
TRZ00037,Cc1ccc(NC(=O)c2nnc(C)c(C)n2)cc1,Cu2+,Cc1ccc(NC(=O)c2nnc(C)c(C)n2)cc1.[Cu+2]
TRZ00037,Cc1ccc(NC(=O)c2nnc(C)c(C)n2)cc1,Zn2+,Cc1ccc(NC(=O)c2nnc(C)c(C)n2)cc1.[Zn+2]
TRZ00037,Cc1ccc(NC(=O)c2nnc(C)c(C)n2)cc1,Fe2+,Cc1ccc(NC(=O)c2nnc(C)c(C)n2)cc1.[Fe+2]
